Age,Percent Male,Percent Female
0.5,1.55608,1.55608
1.5,1.55608,1.55608
2.5,1.55608,1.55608
3.5,1.55608,1.55608
4.5,1.55608,1.55608
5.5,1.55608,1.55608
6.5,1.55607,1.55607
7.5,1.55606,1.55606
8.5,1.55604,1.55604
9.5,1.55601,1.55601
10.5,1.55596,1.55596
11.5,1.55589,1.55589
12.5,1.5558,1.5558
13.5,1.55567,1.55567
14.5,1.55549,1.55549
15.5,1.55525,1.55525
16.5,1.55495,1.55495
17.5,1.55456,1.55456
18.5,1.55408,1.55408
19.5,1.55347,1.55347
20.5,1.55273,1.55273
21.5,1.55183,1.55183
22.5,1.55075,1.55075
23.5,1.54946,1.54946
24.5,1.54793,1.54793
25.5,1.54613,1.54613
26.5,1.54403,1.54403
27.5,1.54159,1.54159
28.5,1.53877,1.53877
29.5,1.53553,1.53553
30.5,1.53184,1.53184
31.5,1.52763,1.52763
32.5,1.52287,1.52287
33.5,1.5175,1.5175
34.5,1.51148,1.51148
35.5,1.50475,1.50475
36.5,1.49724,1.49724
37.5,1.48891,1.48891
38.5,1.4797,1.4797
39.5,1.46955,1.46955
40.5,1.4584,1.4584
41.5,1.44619,1.44619
42.5,1.43286,1.43286
43.5,1.41835,1.41835
44.5,1.40262,1.40262
45.5,1.38561,1.38561
46.5,1.36727,1.36727
47.5,1.34756,1.34756
48.5,1.32644,1.32644
49.5,1.30389,1.30389
50.5,1.27986,1.27986
51.5,1.25435,1.25435
52.5,1.22736,1.22736
53.5,1.19888,1.19888
54.5,1.16893,1.16893
55.5,1.13753,1.13753
56.5,1.10473,1.10473
57.5,1.07057,1.07057
58.5,1.03512,1.03512
59.5,0.998466,0.998466
60.5,0.960698,0.960698
61.5,0.921925,0.921925
62.5,0.882271,0.882271
63.5,0.841873,0.841873
64.5,0.80088,0.80088
65.5,0.759454,0.759454
66.5,0.717767,0.717767
67.5,0.675998,0.675998
68.5,0.634333,0.634333
69.5,0.592964,0.592964
70.5,0.552083,0.552083
71.5,0.511881,0.511881
72.5,0.472546,0.472546
73.5,0.43426,0.43426
74.5,0.397195,0.397195
75.5,0.36151,0.36151
76.5,0.32735,0.32735
77.5,0.294843,0.294843
78.5,0.264097,0.264097
79.5,0.235199,0.235199
80.5,0.208214,0.208214
81.5,0.183185,0.183185
82.5,0.160129,0.160129
83.5,0.139043,0.139043
84.5,0.1199,0.1199
85.5,0.102653,0.102653
86.5,0.0872357,0.0872357
87.5,0.0735649,0.0735649
88.5,0.0615438,0.0615438
89.5,0.0510642,0.0510642
90.5,0.042009,0.042009
91.5,0.0342561,0.0342561
92.5,0.0276805,0.0276805
93.5,0.0221575,0.0221575
94.5,0.0175647,0.0175647
95.5,0.0137848,0.0137848
96.5,0.0107068,0.0107068
97.5,0.00822759,0.00822759
98.5,0.00625311,0.00625311
99.5,0.00469873,0.00469873
100.5,0,0
