"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
2323,2697,0.0177372497,0.0245993867,-3.8270821229,1
2480,3294,0.0183340392,0.0323762933,3.0795924834,1
3289,5258,0.0000000003,0.0368706850,1.2896969446,0
2388,3157,0.0195378261,0.0437096252,6.3398180286,1
2357,2477,0.0118338378,0.0480319164,-2.0215041441,1
690,1490,0.0075922811,0.0804898406,5.5734339653,1
518,2115,0.0747563418,0.0890625625,-12.8441438686,1
1862,3065,0.0436337071,0.1145273886,-0.4490776638,1
282,3391,0.0146969787,0.1152155622,-1.0639714983,1
1187,2381,0.0950959368,0.1222899993,0.4976585404,1
40,1789,0.0409177064,0.1226757788,0.6524707493,1
351,2813,0.0268039976,0.1232791706,1.7208612504,1
2464,3997,0.0000000157,0.1275269522,-4.4907523076,0
851,2498,0.1211027214,0.1331283276,9.6703377412,1
1454,2898,0.1047243145,0.1381859283,-1.8976743230,1
212,1187,0.0870000328,0.1409342385,1.9343200340,1
3263,3280,0.0907421066,0.1515457535,-24.6380288781,1
1105,1937,0.0203694386,0.1520987997,11.9713778164,1
2464,3538,0.1115572722,0.1521775236,0.6710519415,1
1651,2376,0.0112321319,0.1531372900,-0.1800539622,1
2051,3012,0.1218808676,0.1542963920,-1.2419306464,1
1858,3533,0.1419545421,0.1573950082,-10.2180244395,1
137,1023,0.0757278182,0.1722827736,-6.8906767965,1
2574,3398,0.0995114354,0.1743392860,-1.7565653178,1
484,1357,0.1274928275,0.1753307389,-7.8046730561,1
900,3044,0.0269762428,0.1870890241,0.2883103154,1
2476,3504,0.0131361998,0.1879490818,-1.8936999652,1
2761,7391,0.0037764463,0.1885285613,-0.7595093020,0
1166,3294,0.0164734971,0.1959355983,-0.0635774939,1
2373,3019,0.0939245464,0.2092362079,3.2224592961,1
2166,2935,0.1697381827,0.2105879142,-0.7110729740,1
2267,7242,0.0249965388,0.2112068325,2.5592833300,0
570,2949,0.1491517419,0.2130179005,3.1249602675,1
1697,2459,0.1658278762,0.2140828253,-7.6681815135,1
2868,3505,0.2093369627,0.2173431535,-5.2504807474,1
1587,2190,0.1486440407,0.2195324119,-8.4185474252,1
1282,1950,0.1312270942,0.2195837412,13.1864037599,1
1895,2852,0.2222388020,0.2268357444,1.4294094503,1
630,1589,0.1640787191,0.2339212450,8.2967421444,1
177,2712,0.2052206861,0.2442009259,21.4544531808,1
682,2204,0.2007335351,0.2534084271,-5.8321181828,1
2600,3431,0.0504905736,0.2585528870,0.5787995435,1
889,3166,0.1935107890,0.2636367879,-3.3494894752,1
1049,1790,0.0122754113,0.2642620329,-2.7892159485,1
2135,2822,0.1724225034,0.2687221182,-0.7602547243,1
211,2837,0.1942629427,0.2717477681,-2.3310126653,1
652,3187,0.0877549245,0.2755272357,2.1876584399,1
1207,2752,0.2314126981,0.2776969435,4.5153613012,1
1107,3276,0.1698877033,0.2778403115,-1.0483340251,1
1975,2182,0.2521259120,0.2852353617,5.4190465256,1
1119,1551,0.1074684744,0.2968925012,-2.2498574324,1
2261,3226,0.2221137524,0.2990861040,2.7772105043,1
166,1015,0.0071507272,0.3007815800,13.6188355002,1
1125,2385,0.2610714600,0.3028128743,-2.4773063531,1
1160,3258,0.1445788784,0.3115202338,13.9023829462,1
906,3080,0.0178189480,0.3141814117,-0.2193991816,1
2156,3332,0.2703202654,0.3198963405,0.0205288689,1
2637,2992,0.1684404751,0.3317399728,-11.2659997213,1
425,774,0.0959413439,0.3333467214,6.3212953477,1
1085,2783,0.1120105026,0.3336346295,-3.8917162614,1
1636,3008,0.0968523745,0.3452040435,13.9513057068,1
277,1221,0.2419314607,0.3491145942,1.4264146635,1
1533,1688,0.2468170787,0.3559369672,-2.9478831552,1
52,2007,0.0388369168,0.3594124366,-4.7001203263,1
1993,2018,0.0917131989,0.3683685213,-2.2457435807,1
333,3469,0.0260593215,0.3829870850,2.1896675936,1
3574,3599,0.1552783829,0.3849132005,5.4959447151,1
663,1749,0.3728159153,0.3871905063,1.0265546323,1
60,201,0.3746201089,0.3891270585,-8.7254715009,1
699,1906,0.1801350118,0.3988758205,6.7068917263,1
660,2024,0.0887202517,0.4015545588,-8.1885656058,1
1728,2999,0.2014094307,0.4073416642,1.5802088609,1
2385,2860,0.2596204464,0.4133477276,-3.1993752177,1
285,2301,0.1444453541,0.4138205885,0.5951860690,1
1887,2007,0.1063407336,0.4148307087,2.9454347761,1
185,3515,0.3724058311,0.4176934755,-2.9532224644,1
3429,3525,0.0578496631,0.4180234596,-2.1208880006,1
818,2934,0.0601027054,0.4194304123,-12.6257240213,1
1595,2888,0.0692561365,0.4222494245,0.8145091964,1
1258,3240,0.0989486971,0.4242076131,1.1535129942,1
858,1569,0.0213224380,0.4265928326,0.9023665060,1
1745,7262,0.0571899023,0.4369469728,1.6105707046,0
112,818,0.0761092879,0.4423503612,1.0686761576,1
1649,2490,0.2660495712,0.4434580022,-0.0980105311,1
351,2532,0.2817590849,0.4458179332,-1.1100188396,1
555,2153,0.2380792397,0.4470847071,0.9867555644,1
935,1056,0.1049018219,0.4481128765,5.1911589640,1
2412,3341,0.0007083630,0.4486384318,-6.0998612633,1
465,2650,0.1394578949,0.4514435032,-10.8275492514,1
1316,1383,0.2563483501,0.4519620075,1.2553230159,1
447,983,0.2313214679,0.4620624110,-14.7021946550,1
1788,2990,0.1936291774,0.4625613696,8.5421718571,1
201,1369,0.3162877532,0.4756218878,12.4775120808,1
808,1114,0.1541328870,0.4843150744,3.3715310165,1
1023,3506,0.2419558535,0.4940028544,4.5954004827,1
1298,1739,0.4311220180,0.4945430286,-3.7907526712,1
866,1689,0.2864827257,0.4945463060,2.1629091516,1
1560,2907,0.2122685402,0.4945877462,6.9377587466,1
54,838,0.0401201832,0.4948151908,-4.6884543165,1
1343,2285,0.4033808475,0.4957109480,-8.0430709567,1
1654,2411,0.0752920309,0.4986150260,-0.9923022918,1
1596,3527,0.1276867561,0.5026103728,-5.9668910515,1
465,5649,0.0518539811,0.5051924739,3.0246219730,0
2552,2807,0.4496464610,0.5130881239,0.2088617614,1
756,3429,0.3818917775,0.5144781099,-11.3946980531,1
1300,2859,0.0743701948,0.5150511361,-10.4034758671,1
2897,3065,0.0100920946,0.5162583009,0.3277370089,1
198,1331,0.3917405131,0.5271730135,0.5086179217,1
1764,3585,0.2969426673,0.5348006606,-0.3172295658,1
292,512,0.5274416977,0.5356524687,4.4186483066,1
279,1492,0.2643688507,0.5414529937,-9.0548924236,1
502,2802,0.4589360624,0.5444466454,-5.7546907576,1
1343,2901,0.4253008229,0.5470869899,2.1211225020,1
577,599,0.0997261334,0.5508891171,3.4059641171,1
1889,2697,0.3807285458,0.5534343527,0.8580467666,1
3599,6416,0.0000000032,0.5580154931,-0.2181480318,0
1765,2701,0.4301831169,0.5609399881,-1.6587734935,1
733,3498,0.2270237451,0.5616758282,8.7371885971,1
743,2071,0.1682636813,0.5623765343,1.1028554788,1
2644,2815,0.2553612955,0.5628129482,-2.2312837658,1
890,2345,0.3110247148,0.5646424551,-12.5907049209,1
204,3116,0.5271098694,0.5722122090,-1.3218278289,1
3215,3431,0.2670067308,0.5738315936,-23.6602502686,1
1735,2588,0.4574854561,0.5787722211,-5.2985356081,1
1792,3189,0.0506403481,0.5792593520,-0.4587406619,1
1305,1929,0.2731777154,0.5826480587,9.5724606869,1
1668,3083,0.3659670657,0.5837577960,-1.6184920565,1
2183,2773,0.1175675469,0.5851843236,-1.6309700901,1
2389,3517,0.2650088511,0.5866711704,0.7814145696,1
563,2309,0.3918069650,0.5880641332,-4.5803668742,1
1233,3042,0.3940752616,0.5899824594,-3.0070982913,1
1189,2959,0.5571303601,0.5916266392,5.3706861912,1
2762,2990,0.1149338404,0.5932232231,-0.7999738248,1
1762,3170,0.4853808579,0.5996028842,2.9797475865,1
2190,2215,0.2382496108,0.6079904250,0.3074740763,1
2081,2855,0.1479512762,0.6163275034,6.7929537206,1
132,1580,0.2574630981,0.6176817764,-1.9689649473,1
886,1697,0.0479261365,0.6225031753,-5.9972329686,1
852,3118,0.2508985855,0.6261774102,-1.3327583167,1
2163,2773,0.0238727893,0.6277589533,-3.2258246734,1
653,1993,0.4411566599,0.6280258888,-1.9806853568,1
203,1423,0.0003928904,0.6301758531,-1.4802744269,1
157,1012,0.4079201311,0.6312226741,-15.1244626682,1
245,2494,0.5631651094,0.6317851991,11.2977344789,1
218,283,0.0373372836,0.6327796131,-1.3613628377,1
122,2903,0.0060231543,0.6348208024,-5.2025473787,1
2363,3347,0.5461988297,0.6377974306,-2.2310775177,1
3128,3420,0.3955951997,0.6405594636,0.6287751880,1
2081,3448,0.0556929014,0.6406008879,8.6392401734,1
445,1283,0.4684766085,0.6421562236,1.8334600309,1
2084,2376,0.5545919756,0.6422637488,-0.5642090907,1
719,2458,0.4463104514,0.6435155572,-2.4756524594,1
164,852,0.6118051561,0.6455894667,-11.3245923022,1
1512,2174,0.1169429056,0.6504153947,2.3478221256,1
1681,2526,0.4091921872,0.6523250680,1.5472393378,1
296,873,0.2186952524,0.6527524374,-1.1778900702,1
650,3447,0.4776718382,0.6543967639,12.1874734904,1
2029,3070,0.5691428419,0.6551489667,-6.9457286832,1
2316,2508,0.6133995820,0.6583517259,10.6024282199,1
485,663,0.0148444135,0.6622262826,-0.3537041539,1
755,2066,0.4607755321,0.6649029437,-0.1802246347,1
2330,3167,0.3573103579,0.6682910811,-1.7969286394,1
1992,3416,0.5939300121,0.6683328285,-3.8026387360,1
52,649,0.1340096183,0.6705454073,4.1788243032,1
2348,3582,0.3778351263,0.6766495208,-4.6424262519,1
547,3196,0.3676210054,0.6805436710,-7.7538126953,1
1639,3263,0.6427840062,0.6811130501,-2.6820508083,1
575,1955,0.1871881589,0.6814543548,-12.0320811292,1
1543,3456,0.3284203137,0.6816206494,0.4868231552,1
208,775,0.3133070093,0.6851686224,3.9374398590,1
1506,3089,0.1413853938,0.6870296700,-1.9968003041,1
890,1838,0.3612855152,0.6887191400,-1.1930843266,1
1549,2933,0.5975916245,0.6889653954,8.9777964793,1
379,1477,0.4538856367,0.6901049114,6.8237559698,1
1325,3049,0.1723827491,0.6902249296,0.9198528566,1
991,1935,0.4293756563,0.6909447784,-9.0308534849,1
886,2939,0.5120799312,0.6910983500,0.5238287067,1
2049,2168,0.4672855484,0.6932868596,4.1666396845,1
1553,2395,0.5509515228,0.6936000067,-10.9258238241,1
1172,1957,0.5095975414,0.6937993517,1.5827800096,1
1645,3149,0.3936630705,0.6948603190,-0.2759516910,1
1837,2075,0.5284246480,0.6954236704,1.3786029455,1
2136,3365,0.4666274695,0.6974954772,7.6690350938,1
338,2199,0.4340568738,0.7032176761,-8.7523724991,1
2360,3482,0.0067291813,0.7083778709,-0.2256964362,1
1108,2814,0.1432614049,0.7089730904,-1.0529563821,1
2132,2551,0.2903394474,0.7116334702,-2.9984481561,1
1862,2582,0.6925540318,0.7148050082,-0.2634057878,1
1166,3196,0.1884148149,0.7162122289,0.7147635187,1
269,6416,0.0113728580,0.7190836158,6.0600366943,0
1124,3598,0.2618046316,0.7191752151,-3.9285756872,1
458,3568,0.4425292234,0.7239133855,-2.1599919675,1
80,1298,0.4479018638,0.7244703635,4.6237301667,1
822,3306,0.0096411079,0.7245071511,12.4613272710,1
440,2904,0.4699633901,0.7258037015,9.6853507556,1
1331,3072,0.1382101107,0.7275788019,-0.5712465361,1
2058,2633,0.3086057160,0.7312929874,-2.7874740389,1
119,1414,0.4915153678,0.7314905382,2.5867252156,1
1105,2783,0.4982844356,0.7319383526,-5.0496429318,1
2478,3242,0.6550232397,0.7345337571,17.1940944670,1
650,808,0.3110687629,0.7402717607,0.0138364354,1
1906,3218,0.1649290975,0.7410358511,-2.1318908331,1
1145,1502,0.2188890774,0.7417627695,2.8881456392,1
158,1489,0.4392073578,0.7434030171,0.4672769813,1
1754,2114,0.5610135195,0.7447481623,6.6042112771,1
2820,4572,0.0000000115,0.7456213224,3.3410697272,0
762,2041,0.6125350900,0.7458744705,1.3403291456,1
2190,2697,0.5233168536,0.7461491156,3.8863868274,1
1827,2016,0.3272962430,0.7465146756,3.0886017336,1
1700,2576,0.3758330038,0.7481609364,-0.6193548038,1
2453,2465,0.4885552214,0.7525501074,-0.9373538611,1
2197,2251,0.7072971570,0.7545881577,0.4326849986,1
191,2617,0.4945358405,0.7549952332,-1.3799303331,1
1655,2089,0.1663443377,0.7559142690,0.1131322915,1
390,1323,0.2951492242,0.7575967719,-1.3546470736,1
458,1012,0.6850336026,0.7593054690,0.0746021601,1
2459,3150,0.2569603442,0.7652235288,-2.0023627300,1
649,2501,0.7145322150,0.7663529715,14.7974795753,1
1810,2401,0.6592657371,0.7674861038,2.3131756986,1
1364,1763,0.5867610855,0.7704626478,5.3535919697,1
1882,3554,0.0057421782,0.7732478924,-2.6273432554,1
548,1208,0.2884133531,0.7749793244,-13.2845742802,1
1669,3340,0.1852839838,0.7785358902,-3.4051202530,1
1624,3317,0.7709924190,0.7788948609,5.4768041298,1
1147,2767,0.6920850424,0.7833852026,-0.6772689320,1
95,3160,0.3342736526,0.7848807694,0.5982499122,1
290,1680,0.7280113347,0.7900306433,-2.6055814630,1
1551,1967,0.2393013666,0.7904789193,0.3509391497,1
1161,2746,0.1236915274,0.7992534472,-3.6931410795,1
1003,2084,0.2364252621,0.8058749965,0.2001119003,1
1313,2369,0.2451411590,0.8090990068,-0.7733803268,1
2085,3566,0.0002706803,0.8149882383,-0.5470930275,1
2336,3581,0.4663673347,0.8153198559,2.2258676660,1
3173,3255,0.5793900917,0.8156638387,9.7473853695,1
1204,2601,0.1521178212,0.8169023757,0.7695044527,1
1968,3559,0.2809670216,0.8170382394,-5.2509492849,1
1841,2088,0.7656414129,0.8214172442,4.3797767962,1
896,2465,0.6895699814,0.8221204177,2.6252163763,1
177,2478,0.0249302805,0.8228568121,-2.6466512514,1
871,1678,0.7309253074,0.8236110133,2.4774058465,1
986,2397,0.6729312880,0.8246109008,12.9015176003,1
55,3080,0.7430959105,0.8258923526,-5.5622142615,1
2056,2651,0.6954050796,0.8334217747,12.8859016676,1
2954,3096,0.6550308899,0.8342404756,1.2402504898,1
4,1786,0.4510945912,0.8345687706,-1.0066816070,1
1815,3096,0.2754993816,0.8357073885,3.7348725985,1
6,1045,0.2341917189,0.8365422021,-2.3831469481,1
2379,3513,0.1269204912,0.8411599631,2.9172007299,1
247,2135,0.8188288775,0.8427860455,3.5749039595,1
521,2311,0.2642812678,0.8435323044,-19.3447340773,1
118,2681,0.6220691923,0.8443970504,-2.3097026818,1
2124,2624,0.7072246474,0.8476181497,-2.8109138315,1
447,3102,0.8267327111,0.8491548184,3.6325099117,1
1093,3330,0.0417632453,0.8534421937,-1.4904818093,1
231,3213,0.0662204755,0.8598258451,5.2695643903,1
967,2197,0.7951939547,0.8641166118,13.9791857235,1
42,3106,0.8636436811,0.8646785160,-5.8734647655,1
976,2868,0.6817225242,0.8650667507,8.5202687354,1
1656,2797,0.5722615745,0.8702868464,4.0502793043,1
1530,1655,0.1493428672,0.8708648199,1.2997769761,1
2236,2441,0.8032798760,0.8724791655,-3.6558337927,1
1437,2648,0.7041332427,0.8726626578,-0.5875615601,1
313,504,0.4023779918,0.8737137719,-4.4725594358,1
