Time,PopSize,InTreatment
1.0000000000,3956,0
2.0000000000,3972,0
3.0000000000,4015,0
4.0000000000,4083,0
5.0000000000,4170,0
6.0000000000,4230,0
7.0000000000,4313,0
8.0000000000,4413,0
9.0000000000,4520,0
10.0000000000,4600,0
11.0000000000,4700,0
12.0000000000,4804,0
13.0000000000,4905,0
14.0000000000,5021,0
15.0000000000,5129,0
16.0000000000,5223,0
17.0000000000,5306,0
18.0000000000,5397,0
19.0000000000,5431,0
20.0000000000,5453,0
21.0000000000,5459,0
22.0000000000,5476,0
23.0000000000,5466,0
24.0000000000,5441,0
25.0000000000,5438,0
26.0000000000,5428,24
27.0000000000,5426,69
28.0000000000,5444,82
29.0000000000,5460,104
30.0000000000,5477,106
31.0000000000,5525,219
32.0000000000,5582,253
33.0000000000,5643,275
34.0000000000,5738,454
35.0000000000,5840,515
36.0000000000,5944,542
37.0000000000,6025,585
38.0000000000,6149,633
39.0000000000,6268,1199
40.0000000000,6373,1343
