"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
1400,3748,0.0318440598,0.0333740267,2.8141818178,0
34,3574,0.0013014844,0.0398009029,5.0217889360,0
1354,2004,0.0301737493,0.0398303721,9.5454497811,0
1315,2831,0.0191732910,0.0498807037,3.5730451146,0
1949,2708,0.0257399245,0.0501452258,1.7232878592,0
1051,3536,0.0680770224,0.0731956298,7.1064723188,0
1789,3319,0.0006259437,0.0735300269,8.3303916868,0
1179,3752,0.0285071916,0.0978451889,-2.0599416984,0
117,3729,0.0948835445,0.1006444954,13.5114716937,0
1978,3085,0.0560427150,0.1010159880,1.2041961378,0
1761,2004,0.0001096337,0.1029003921,2.3121893914,0
587,1996,0.0427254276,0.1275440880,-3.3034817379,1
912,1981,0.0638054018,0.1302604925,-0.3175459047,1
1179,3265,0.1112177269,0.1306334500,4.4962531345,0
876,3664,0.0402291171,0.1320489832,5.2610641258,0
165,1795,0.0181158901,0.1402656800,-3.0992619467,1
1082,3574,0.0640806855,0.1416538759,5.8204126131,0
404,868,0.0810812287,0.1417658403,4.5729377124,1
1889,2004,0.0000054737,0.1417938145,8.3470763592,0
1051,2308,0.1054987605,0.1424469064,3.6137094731,0
147,1771,0.0286792624,0.1439188382,-9.4243651962,1
48,3654,0.1323662230,0.1541274594,3.6641726208,0
81,2372,0.0911714181,0.1570988874,11.1219306605,0
837,3009,0.0161550717,0.1607478995,13.5868845350,0
1512,3009,0.0759190552,0.1607478995,5.6594960202,0
1662,3009,0.0947027659,0.1607478995,11.2723069787,0
1797,3748,0.0000123019,0.1760780069,4.5139335281,0
1383,2763,0.0175686984,0.1802015345,-0.2395745969,0
103,3117,0.0546247046,0.1816360891,10.0784884773,0
261,3696,0.0773863357,0.1834494411,0.6396448363,0
1090,1597,0.1312148725,0.1845052456,0.8762680391,1
1797,2746,0.0191739765,0.1857964590,2.1833619051,0
537,3823,0.1525443082,0.1864415902,10.6184595832,0
694,1578,0.1192985049,0.1870193573,-7.2588345790,1
1041,3748,0.0041919431,0.1881141141,2.0490030126,0
188,1902,0.0347689924,0.1976066416,2.1312846283,1
215,665,0.1584515999,0.1987077436,4.4070381920,1
555,2729,0.1808360666,0.2050246436,1.2005700086,0
261,2746,0.0669616258,0.2054520044,5.3804288993,0
276,3751,0.0008655253,0.2068713364,16.9662427573,0
1172,1268,0.0193992718,0.2113796030,-3.4528352248,1
166,868,0.1872542383,0.2152767683,-11.4913566070,1
1798,3738,0.0074430814,0.2171088836,3.4065515099,0
1872,3829,0.0251137982,0.2235934320,2.3271013862,0
1381,2686,0.0000075015,0.2253384588,2.4658693424,0
1177,3988,0.0003550317,0.2301456146,12.9362919698,0
1704,1806,0.2206004115,0.2312396926,1.6001178142,1
839,2317,0.0553373811,0.2320694989,2.3986136585,0
523,1462,0.2074276136,0.2327942098,0.3109830709,1
428,1531,0.1163320821,0.2358126435,-1.2155499967,1
897,2104,0.0899132788,0.2406737481,9.2497170014,0
618,3548,0.1223625040,0.2407375438,13.2986315629,0
1791,2004,0.2235060474,0.2412405045,5.7230424453,0
574,3903,0.2052073203,0.2470369640,4.8971950714,0
222,1503,0.1777299300,0.2488657144,-7.9695862309,1
703,1801,0.1905207721,0.2492887979,9.5174561767,1
1811,1904,0.2511144342,0.2530727997,-0.3437927084,1
79,982,0.1749129437,0.2563710459,-11.4915747842,1
1018,1823,0.2452904207,0.2581572936,15.1012736950,1
545,2549,0.0626136988,0.2601123524,14.6003105298,0
1166,3752,0.0009763681,0.2656180440,9.1072916197,0
