Age,Percent Male,Percent Female
0.5,1.67559,1.67559
1.5,1.67559,1.67559
2.5,1.67559,1.67559
3.5,1.67559,1.67559
4.5,1.67558,1.67558
5.5,1.67558,1.67558
6.5,1.67557,1.67557
7.5,1.67555,1.67555
8.5,1.67552,1.67552
9.5,1.67548,1.67548
10.5,1.6754,1.6754
11.5,1.6753,1.6753
12.5,1.67515,1.67515
13.5,1.67494,1.67494
14.5,1.67466,1.67466
15.5,1.6743,1.6743
16.5,1.67382,1.67382
17.5,1.67322,1.67322
18.5,1.67246,1.67246
19.5,1.67152,1.67152
20.5,1.67037,1.67037
21.5,1.66897,1.66897
22.5,1.66728,1.66728
23.5,1.66527,1.66527
24.5,1.66289,1.66289
25.5,1.66009,1.66009
26.5,1.65682,1.65682
27.5,1.65303,1.65303
28.5,1.64865,1.64865
29.5,1.64363,1.64363
30.5,1.6379,1.6379
31.5,1.63139,1.63139
32.5,1.62403,1.62403
33.5,1.61575,1.61575
34.5,1.60647,1.60647
35.5,1.59611,1.59611
36.5,1.5846,1.5846
37.5,1.57185,1.57185
38.5,1.55778,1.55778
39.5,1.54232,1.54232
40.5,1.5254,1.5254
41.5,1.50693,1.50693
42.5,1.48685,1.48685
43.5,1.4651,1.4651
44.5,1.44162,1.44162
45.5,1.41636,1.41636
46.5,1.38929,1.38929
47.5,1.36038,1.36038
48.5,1.3296,1.3296
49.5,1.29697,1.29697
50.5,1.2625,1.2625
51.5,1.22622,1.22622
52.5,1.18818,1.18818
53.5,1.14845,1.14845
54.5,1.10713,1.10713
55.5,1.06431,1.06431
56.5,1.02014,1.02014
57.5,0.97477,0.97477
58.5,0.928368,0.928368
59.5,0.881129,0.881129
60.5,0.833262,0.833262
61.5,0.784993,0.784993
62.5,0.736561,0.736561
63.5,0.688214,0.688214
64.5,0.640208,0.640208
65.5,0.592802,0.592802
66.5,0.546254,0.546254
67.5,0.500816,0.500816
68.5,0.456729,0.456729
69.5,0.414222,0.414222
70.5,0.373503,0.373503
71.5,0.334758,0.334758
72.5,0.298148,0.298148
73.5,0.263803,0.263803
74.5,0.231823,0.231823
75.5,0.202272,0.202272
76.5,0.175183,0.175183
77.5,0.150556,0.150556
78.5,0.128357,0.128357
79.5,0.108522,0.108522
80.5,0.0909614,0.0909614
81.5,0.0755595,0.0755595
82.5,0.0621826,0.0621826
83.5,0.0506809,0.0506809
84.5,0.0408942,0.0408942
85.5,0.0326559,0.0326559
86.5,0.0257978,0.0257978
87.5,0.0201539,0.0201539
88.5,0.0155639,0.0155639
89.5,0.0118766,0.0118766
90.5,0.00895147,0.00895147
91.5,0.00666115,0.00666115
92.5,0.0048918,0.0048918
93.5,0.00354376,0.00354376
94.5,0.00253127,0.00253127
95.5,0.00178195,0.00178195
96.5,0.00123576,0.00123576
97.5,0.000843807,0.000843807
98.5,0.00056704,0.00056704
99.5,0.000374826,0.000374826
100.5,0,0
