"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
1383,5736,0.0000123257,0.0036700401,-1.6294406621,0
2210,5502,0.0097387275,0.0150444908,6.0673169201,0
1044,5149,0.0000204647,0.0189120583,7.7789139424,0
1383,3336,0.0000000000,0.0277029529,7.2725190129,0
1692,3336,0.0000000030,0.0323887295,4.5507727555,0
1557,3751,0.0000349131,0.0357766259,8.0758671225,0
1216,4731,0.0002898598,0.0438805767,1.6036100720,0
183,4506,0.0039842420,0.0500537675,3.5086615484,0
574,5747,0.0054325718,0.0651797341,14.8848581260,0
947,3748,0.0344664408,0.0761912920,2.6580169862,0
252,3574,0.0004870066,0.0784709544,-2.2842349594,0
1736,5144,0.0078384516,0.0793940215,14.1340366820,0
2081,4453,0.0104706802,0.0801769559,5.1569637286,0
252,5014,0.0417851620,0.0818140446,2.5561984084,0
1432,3945,0.0000183913,0.0821618856,11.8927654443,0
1903,3945,0.0080408344,0.0821618856,17.5959534198,0
618,4514,0.0080403614,0.0865004218,18.2542096116,0
798,3085,0.0002447153,0.0873282150,-9.9385165904,0
31,5414,0.0339613329,0.0904929647,-2.2572052134,0
2462,3729,0.0601409790,0.0909272451,11.3722556314,0
2023,5871,0.0073158272,0.0935054186,8.5477786090,0
530,3336,0.0009476525,0.0984583410,3.5898611099,0
1383,5950,0.0206598581,0.1012436640,3.9519608876,0
252,5281,0.0086423629,0.1067446780,0.8281495196,0
337,4919,0.0243736751,0.1099455074,10.8953446412,0
2548,5787,0.0038704710,0.1127587186,9.9047224458,0
2004,4533,0.0197612738,0.1182413645,4.3998885776,0
1790,2835,0.0376678707,0.1231062981,5.6043683377,0
1051,4300,0.0242479515,0.1320135357,0.0031387312,0
249,4231,0.0028072112,0.1320647896,9.1985132829,0
1923,4469,0.0103986677,0.1369470235,15.8781549826,0
796,2844,0.0742171851,0.1442572002,12.5805517404,0
796,3729,0.0494074676,0.1442572002,4.9940087312,0
1269,3748,0.0028326076,0.1463294877,-0.4988261372,0
1441,3319,0.0021807132,0.1526441160,11.5109645131,0
2210,3850,0.0077795009,0.1572231276,7.9242714799,0
1926,3233,0.0243944424,0.1589643112,5.9346650665,0
2378,3607,0.0915293461,0.1606771600,5.3617351830,0
621,5144,0.0863177093,0.1619066328,8.6112264123,0
2268,3684,0.1377565399,0.1668859820,5.4501856882,0
798,3497,0.1317039552,0.1893424847,1.6780419956,0
1473,4231,0.0527933650,0.1938796326,22.8543700786,0
819,5144,0.0018732637,0.1993363901,6.4860113016,0
8,2831,0.0051072766,0.2083282530,-2.9190620036,0
703,5882,0.0536465515,0.2141609130,12.4241099018,0
430,4554,0.0100361519,0.2213990018,11.6587549743,0
1975,3336,0.0429177688,0.2217680515,0.4615696874,0
2379,3748,0.1022625139,0.2219549813,-0.2900319379,0
2483,5524,0.0049571309,0.2304432653,12.3017444039,0
629,4196,0.0360271438,0.2388492400,12.0902433591,0
1166,3085,0.0006541130,0.2403543881,8.0217382905,0
798,2831,0.0000032037,0.2424356102,-3.2251720515,0
744,4604,0.0010049778,0.2540645925,14.1423207014,0
2118,2831,0.0000005614,0.2545047782,3.0934934063,0
356,4604,0.0071751595,0.2653679864,8.2348556229,0
373,3319,0.1857220930,0.2708877725,8.5716025664,0
379,4121,0.1025970095,0.2729012754,3.2737198231,0
2679,4554,0.0032255158,0.2731760050,10.6270384863,0
2310,4118,0.2302831290,0.2752455831,5.0757512810,0
1051,5310,0.0054282697,0.2752706922,-0.4924406252,0
1052,3465,0.2219174961,0.2769379517,13.9948758693,0
897,5014,0.0646385351,0.2777116538,9.9760266619,0
105,3748,0.0212473317,0.2783051985,1.0660883190,0
