"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
675,2981,0.0000759596,0.0445729347,8.9117224328,0
1415,2089,0.0016232520,0.0999720273,7.5878787578,0
1278,1534,0.0345719715,0.1008163357,8.9629128389,0
1326,2308,0.0549532927,0.1039417426,5.4917982778,0
471,2317,0.0002301872,0.1043365471,-3.9433476231,0
1381,1941,0.0001690544,0.1109106803,-2.7030305710,0
7,2294,0.0511960989,0.1270767360,9.1609546585,0
1310,3319,0.0037484628,0.1358281760,8.4661078151,0
425,1889,0.0015057293,0.1420949686,12.8698687562,0
102,3336,0.0131639278,0.1442518152,0.4577876047,0
626,1941,0.0807499175,0.1482659167,-2.7027010173,0
1000,2663,0.0676805508,0.1540774886,12.4846247676,0
321,3350,0.0371626538,0.1581798704,6.5286650927,0
675,2833,0.1085034014,0.1603767166,9.4742942541,0
889,3319,0.0000135779,0.1612122624,2.0935067218,0
871,2722,0.1628705199,0.1694277943,5.9478871850,0
920,2802,0.0119133575,0.1719073211,16.4109861234,0
222,3336,0.1486422016,0.1918347855,-1.3601675574,0
1277,1941,0.0041915552,0.1950617039,8.0810048968,0
662,3336,0.0000848679,0.2011666396,3.5611108177,0
1080,1754,0.0149515749,0.2036417313,18.1617605547,0
1080,2710,0.1433236703,0.2036417313,12.7324251376,0
1402,1907,0.0305293233,0.2095931413,13.9493902761,0
1304,1743,0.0010233574,0.2118612060,0.4707133373,0
933,3085,0.0664526403,0.2225773411,5.1467673106,0
574,2504,0.0705578835,0.2244841537,6.8108516250,0
1176,2430,0.2028614208,0.2593006790,4.0163762740,0
84,3336,0.0045490540,0.2733810511,2.2249627550,0
1371,2566,0.1041840689,0.2797886200,5.2698484473,0
177,2549,0.0059284867,0.2861710787,13.9270904769,0
1476,2088,0.0258503677,0.2869069629,4.1951481647,0
787,1955,0.2622771461,0.2948228958,13.3556006501,0
1403,1968,0.2161189064,0.3034355855,6.8538834718,0
252,2902,0.0121438256,0.3097083017,-4.2583437390,0
1381,2104,0.0250212076,0.3147395404,8.3603288508,0
1224,3336,0.2213799849,0.3431621539,-1.0542116281,0
1038,1889,0.1786350535,0.3479495612,9.8205541702,0
1466,3075,0.3362849238,0.3503930969,7.9253233092,0
1400,1743,0.1493778306,0.3548805408,-0.5443950507,0
1141,3319,0.0008613827,0.3591510987,6.0680901460,0
1000,1692,0.0000000000,0.3659594099,13.2263625555,0
544,3316,0.2312993160,0.3777919952,7.1723881695,0
574,1541,0.3072987373,0.3822648274,10.8900796752,0
592,3336,0.0307554242,0.3924484157,4.8047554961,0
1051,2826,0.0028175471,0.3933604813,1.8912764401,0
1326,1874,0.0050511861,0.4083904863,3.4969925977,0
81,1640,0.1063485685,0.4095157297,7.1772904069,0
148,2253,0.1599188449,0.4125079890,17.0024072920,0
1216,2118,0.0165387665,0.4130812105,14.1922035933,0
798,2233,0.0000163429,0.4223238438,-2.2294270883,0
1381,2979,0.0689850365,0.4278738846,7.9439178512,0
905,2439,0.0105242124,0.4282752555,11.2693606663,0
101,2602,0.0183019880,0.4296114657,4.0566349064,0
471,2686,0.0119647804,0.4400202618,-7.3336999783,0
252,2283,0.1908253410,0.4526322250,3.9632669811,0
1012,2312,0.0476065093,0.4537170456,3.1857329315,0
889,2831,0.0000610477,0.4560023533,1.0329644618,0
471,3190,0.0192801520,0.4572255471,-0.8882753932,0
1051,2979,0.0001706713,0.4580124177,6.2620031816,0
165,3190,0.4662766183,0.4742784088,0.3190575566,0
544,2449,0.3689114618,0.4744295277,7.7714293892,0
8,3056,0.4085130855,0.4762410812,0.2154877704,0
1138,1692,0.0118886345,0.4776626504,6.9900329789,0
695,1697,0.1991655718,0.4993586936,7.2342474085,0
1055,2686,0.0018433218,0.5044996011,1.8375114884,0
552,2528,0.0546586411,0.5079886162,7.8434187208,0
1000,2039,0.0000313807,0.5167302550,6.6036787889,0
787,2744,0.0089364822,0.5308145100,7.9147877349,0
1453,3406,0.1694447928,0.5377577143,8.7342237129,0
252,1817,0.4769040781,0.5381039601,5.6198641298,0
863,2831,0.1843469993,0.5411105374,1.0277567598,0
608,3319,0.0001649686,0.5413413713,12.4765103856,0
919,2317,0.0005976570,0.5499938669,8.5157578255,0
1326,2388,0.0242071018,0.5543472438,4.3247050820,0
31,2790,0.4353625423,0.5581051535,-0.5197814855,0
1371,2317,0.0326318102,0.5842497805,4.8675410888,0
618,2136,0.1120376532,0.5895039384,14.1142201554,0
735,1789,0.1051489658,0.5938095470,5.5979113578,0
1308,1575,0.4506944138,0.5989048448,4.9817150237,0
261,2979,0.4043578406,0.6005024629,4.9439901112,0
79,1743,0.0690352619,0.6021895514,2.0530920783,0
252,1817,0.5381188717,0.6035281026,5.6198641298,0
56,3336,0.4370832574,0.6100938805,-1.5268103118,0
1436,2831,0.0499032915,0.6193826979,2.2277132870,0
134,2740,0.1011054672,0.6226484600,12.6533843769,0
856,1692,0.0017234102,0.6253162202,10.4694107468,0
798,2729,0.0001873352,0.6331689618,1.3172240752,0
649,2981,0.0241064149,0.6353206122,11.9660266596,0
649,3118,0.4410976069,0.6353206122,10.0903845923,0
537,2221,0.0009403643,0.6395536624,16.4426744219,0
485,2378,0.1522861538,0.6411354229,4.7063320807,0
744,3283,0.0111063834,0.6511154693,10.5017824635,0
162,2465,0.4319300860,0.6565581400,13.4556406673,0
1004,2256,0.1663122851,0.6601261037,6.9160915644,0
1217,2147,0.1489702156,0.6731443573,10.3546966293,0
818,2023,0.0862819686,0.6760116691,19.8783781103,0
1381,3085,0.0001381912,0.6938552906,-0.9921817210,0
641,3335,0.4671550647,0.7047434547,1.3426738956,0
1296,2004,0.6980747415,0.7048222704,12.0365698849,0
967,2187,0.5390185744,0.7054287657,1.1688229847,0
1346,3336,0.2346946310,0.7099275853,1.7122095012,0
1212,1568,0.0271203758,0.7103845457,1.3890008981,0
1439,2686,0.0680866636,0.7164160131,3.8787760881,0
693,1692,0.1184048708,0.7253533677,18.5149443352,0
1055,2104,0.1229212359,0.7270742620,7.7319709968,0
1366,2831,0.0295599960,0.7308302631,2.0730054562,0
815,3480,0.0047776071,0.7402825971,4.1226316329,0
8,1872,0.1457699625,0.7435994506,-0.8569743183,0
778,2915,0.0839278165,0.7444880764,0.7952308436,0
1208,1692,0.0001499453,0.7512478720,18.9323776133,0
926,2700,0.0185393471,0.7555633098,1.2690240350,0
912,3369,0.0120349294,0.7569343520,6.0923742261,0
379,1569,0.0965620561,0.7619085919,7.7504032432,0
807,3319,0.0859189627,0.7753457990,-0.6340947352,0
1179,2233,0.0000133394,0.7768374564,4.5635944745,0
1383,3329,0.0050200219,0.7804751893,5.5533877111,0
1304,2735,0.5301609388,0.7824073244,-0.0196743515,0
855,3451,0.3095014002,0.7877547120,1.4613544482,0
544,3219,0.0481672565,0.7923857792,11.1898700521,0
306,3117,0.6676741275,0.8038499743,11.5995810852,0
1087,1660,0.7001486315,0.8082411737,8.6670263227,0
1039,2757,0.5046012380,0.8245280416,5.1446702962,0
426,1540,0.8022224272,0.8265698667,10.1635870297,0
471,2317,0.1049488429,0.8283789483,-3.9433476231,0
221,2118,0.4849434863,0.8415875436,3.5670566494,0
644,3336,0.0357097027,0.8494005244,8.8180083963,0
458,3368,0.0001975070,0.8577966810,10.4257599075,0
564,1900,0.4343748953,0.8668828822,6.4988882971,0
589,3210,0.1591670479,0.8673183963,8.4045994992,0
1371,2004,0.0158418432,0.8741443558,1.6042308795,0
758,2344,0.0050477085,0.8747096105,12.2670180799,0
1215,2320,0.3851008282,0.8782601100,4.4703512778,0
926,2073,0.0612431818,0.8782799975,-0.1008961748,0
425,3283,0.3487507586,0.8864292595,11.2445094577,0
445,3283,0.3685909549,0.8864292595,9.9948106610,0
638,3283,0.3252105696,0.8864292595,7.8334331974,0
744,3283,0.6827563312,0.8864292595,10.5017824635,0
1044,3283,0.0020320921,0.8864292595,14.0170299283,0
1089,3283,0.3663105108,0.8864292595,8.0535517227,0
1407,3283,0.3672570041,0.8864292595,7.1406307567,0
996,3085,0.0000907360,0.8947791342,3.5348457370,0
1386,2317,0.3252103672,0.8997825741,4.9512704316,0
313,2248,0.3283379872,0.9012054788,7.3405109399,0
798,2867,0.0070674217,0.9012617026,1.7560894631,0
916,2979,0.0054485787,0.9033772126,9.2701453896,0
1447,2247,0.6237391602,0.9039259890,8.5783443574,0
1383,2047,0.0009431025,0.9051985925,2.4229447632,0
926,3085,0.0000048659,0.9061986101,-10.4165440647,0
662,1743,0.0003690529,0.9135970618,0.4869087683,0
451,2047,0.0056321957,0.9267588355,9.4086248308,0
1179,2925,0.0302731501,0.9281906272,-0.6036484594,0
592,3336,0.3958235451,0.9342654414,4.8047554961,0
1385,1975,0.4689734969,0.9445397372,4.1033991627,0
222,3336,0.9270206808,0.9478055104,-1.3601675574,0
400,2511,0.0795199621,0.9489909045,14.6017876470,0
485,1606,0.1757316013,0.9576162631,5.6381335113,0
