Time,PopSize,InTreatment
1.0000000000,3448,0
2.0000000000,3472,0
3.0000000000,3502,0
4.0000000000,3553,0
5.0000000000,3618,0
6.0000000000,3685,0
7.0000000000,3790,0
8.0000000000,3867,0
9.0000000000,3959,0
10.0000000000,4040,0
11.0000000000,4118,3
12.0000000000,4196,11
13.0000000000,4290,25
14.0000000000,4371,42
15.0000000000,4479,68
16.0000000000,4553,114
17.0000000000,4661,154
18.0000000000,4758,191
19.0000000000,4830,235
20.0000000000,4878,272
21.0000000000,4946,314
22.0000000000,5033,353
23.0000000000,5124,376
24.0000000000,5203,404
25.0000000000,5277,435
26.0000000000,5344,468
27.0000000000,5442,495
28.0000000000,5564,520
29.0000000000,5671,555
30.0000000000,5810,588
31.0000000000,5927,616
32.0000000000,6069,655
33.0000000000,6210,676
34.0000000000,6338,703
35.0000000000,6481,725
36.0000000000,6612,754
37.0000000000,6780,776
38.0000000000,6951,809
39.0000000000,7132,837
40.0000000000,7299,859
