Time,PopSize,InTreatment
1.0000000000,7886,0
2.0000000000,7932,0
3.0000000000,8048,0
4.0000000000,8185,0
5.0000000000,8364,0
6.0000000000,8563,0
7.0000000000,8755,0
8.0000000000,8939,0
9.0000000000,9150,0
10.0000000000,9365,0
11.0000000000,9592,7
12.0000000000,9777,23
13.0000000000,9989,89
14.0000000000,10227,201
15.0000000000,10415,338
16.0000000000,10611,467
17.0000000000,10795,609
18.0000000000,10976,720
19.0000000000,11101,836
20.0000000000,11238,934
21.0000000000,11385,1030
22.0000000000,11509,1105
23.0000000000,11667,1142
24.0000000000,11859,1189
25.0000000000,12073,1247
26.0000000000,12289,1296
27.0000000000,12524,1342
28.0000000000,12740,1379
29.0000000000,13006,1439
30.0000000000,13274,1520
31.0000000000,13557,1597
32.0000000000,13854,1655
33.0000000000,14192,1684
34.0000000000,14548,1746
35.0000000000,14899,1793
36.0000000000,15313,1837
37.0000000000,15709,1874
38.0000000000,16119,1933
39.0000000000,16557,1985
40.0000000000,16999,2032
