"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
103,5281,0.0011669871,0.0100193369,7.5946397409,0
2004,6136,0.0006525259,0.0163634775,4.8501003844,0
1179,3781,0.0051319313,0.0190919260,2.8490733521,0
1332,5514,0.0027100617,0.0254628600,11.1489213026,0
2817,5514,0.0200106965,0.0262024919,10.1833879092,0
2902,6781,0.0000001818,0.0291376097,5.4768017967,0
3223,7878,0.0000063849,0.0302956416,8.4662425392,0
3186,3751,0.0002303363,0.0339457035,6.9220074086,0
1750,7753,0.0069762273,0.0361550826,3.2795314143,0
1900,6089,0.0000065610,0.0404349245,7.5727006505,0
2686,3850,0.0407715435,0.0478643788,-4.5049215267,0
787,5573,0.0048753434,0.0480658464,-4.3698539248,0
2723,6541,0.0397166693,0.0539217419,10.0794814792,0
1606,3738,0.0043047584,0.0547118986,-1.6549282334,0
798,7161,0.0173676531,0.0583729514,2.3846798419,0
1039,6060,0.0005415247,0.0596838598,4.0508624665,0
2575,6035,0.0361901559,0.0626679317,11.2794826992,0
2233,7719,0.0035092975,0.0894685478,3.4988780911,0
2790,7888,0.0051200316,0.0912398400,1.3938089465,0
680,5736,0.0028293524,0.0918562731,9.4319160872,0
2004,4810,0.0135600218,0.0933629622,1.9004688557,0
837,4020,0.0143173677,0.0952133876,16.2299783782,0
837,7022,0.0339048844,0.0952133876,16.9789437388,0
837,7443,0.0230077347,0.0952133876,14.6067958560,0
2041,5666,0.0056154114,0.1025453841,10.9362792297,0
2041,5751,0.0282889436,0.1025453841,13.8013412240,0
2041,6487,0.0404292844,0.1025453841,8.7428525484,0
554,7022,0.0012893658,0.1112137594,12.5881269977,0
54,4469,0.0081232477,0.1127400864,13.6793178018,0
62,4469,0.0067447581,0.1127400864,8.2701940728,0
159,4469,0.1102961701,0.1127400864,17.5806901289,0
327,4469,0.0046388633,0.1127400864,18.1019277736,0
426,4469,0.1001350061,0.1127400864,12.1640343795,0
518,4469,0.0015662735,0.1127400864,15.2698872222,0
618,4469,0.0000012300,0.1127400864,13.1817728966,0
650,4469,0.0017438491,0.1127400864,15.7372662045,0
758,4469,0.0000101488,0.1127400864,10.3227069556,0
826,4469,0.0000454097,0.1127400864,14.0785261115,0
832,4469,0.0985523769,0.1127400864,14.3044003124,0
1610,4469,0.0721550677,0.1127400864,17.2995757266,0
1682,4469,0.0018448592,0.1127400864,12.4897865828,0
1744,4469,0.0134716995,0.1127400864,16.3499236699,0
1816,4469,0.0214146940,0.1127400864,18.7140093250,0
1903,4469,0.0054156062,0.1127400864,27.4756424414,0
2738,4469,0.0000403442,0.1127400864,15.2174537717,0
2806,4469,0.0641652982,0.1127400864,16.0825217553,0
2936,4469,0.0003142261,0.1127400864,9.3848012383,0
2974,4469,0.0000005070,0.1127400864,17.3650382898,0
3243,4469,0.0022442918,0.1127400864,19.2026320432,0
3681,4469,0.0000000998,0.1127400864,4.6654419368,0
3692,4469,0.1001706458,0.1127400864,14.7721486528,0
2039,5736,0.0014468480,0.1194134930,2.2714968472,0
2957,7871,0.0310310387,0.1194263691,14.9386673343,0
2144,6683,0.0761481594,0.1220980351,9.1220514933,0
