Time,PopSize,InTreatment
1.0000000000,5912,0
2.0000000000,5944,0
3.0000000000,6023,0
4.0000000000,6117,0
5.0000000000,6225,0
6.0000000000,6346,0
7.0000000000,6514,0
8.0000000000,6654,0
9.0000000000,6807,0
10.0000000000,6968,0
11.0000000000,7102,9
12.0000000000,7255,35
13.0000000000,7405,92
14.0000000000,7578,173
15.0000000000,7710,285
16.0000000000,7848,388
17.0000000000,7988,479
18.0000000000,8134,587
19.0000000000,8241,680
20.0000000000,8364,740
21.0000000000,8487,804
22.0000000000,8612,838
23.0000000000,8758,888
24.0000000000,8892,922
25.0000000000,9055,964
26.0000000000,9232,999
27.0000000000,9375,1029
28.0000000000,9567,1070
29.0000000000,9782,1107
30.0000000000,9987,1152
31.0000000000,10186,1189
32.0000000000,10441,1244
33.0000000000,10685,1302
34.0000000000,10940,1352
35.0000000000,11220,1430
36.0000000000,11513,1492
37.0000000000,11804,1528
38.0000000000,12087,1550
39.0000000000,12412,1579
40.0000000000,12688,1608
