"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
1044,3752,0.0000267019,0.0175421471,21.4899257059,0
215,2870,0.0139687577,0.0228848524,6.3119667617,0
1557,5144,0.0000133959,0.0357766259,14.5820011232,0
8,3574,0.0027423073,0.0385691646,-4.3940196780,0
2004,3884,0.0207061864,0.0457970126,3.2746130413,0
2233,3515,0.0000341670,0.0472212031,4.9152139101,0
405,3076,0.0019871163,0.0474686862,15.6366673117,0
1907,2902,0.0245587724,0.0505832654,2.4206019642,0
1156,5997,0.0350945776,0.0635042188,11.3809107791,0
1383,5671,0.0005820382,0.0724296264,7.6375234489,0
8,3906,0.0352905891,0.0777086917,-5.7143802828,0
2118,2915,0.0000276297,0.0810201310,1.7254133801,0
1949,4826,0.0755170219,0.0818094940,7.3653405382,0
758,3945,0.0410123066,0.0821618856,0.4430179340,0
1080,3945,0.0761392891,0.0821618856,21.7724908840,0
1599,3945,0.0610041857,0.0821618856,8.0329954990,0
1835,3945,0.0265884973,0.0821618856,7.5999786347,0
2103,3945,0.0006697470,0.0821618856,15.6131040457,0
2549,3945,0.0000011427,0.0821618856,4.2303023417,0
2325,5144,0.0000232341,0.0860168582,13.2045200928,0
1694,3319,0.0047677229,0.0869580578,8.5862391933,0
1166,4246,0.0008243480,0.0896257588,5.9880358569,0
1900,3516,0.0569332590,0.0986340933,7.4939736991,0
2089,4586,0.0056720936,0.0998350378,2.4044520179,0
2317,3336,0.0000002272,0.1037836656,4.5703317455,0
355,5747,0.0058543647,0.1041478643,5.9212336021,0
379,3350,0.0658243395,0.1160045510,12.7978638131,0
37,5997,0.0523831767,0.1166074103,16.3157902612,0
1915,5206,0.0871976097,0.1302842900,5.4239121758,0
1923,3751,0.0034782996,0.1369470235,17.7164221485,0
796,3675,0.0968077205,0.1442572002,14.6056790874,0
796,4233,0.0168501533,0.1442572002,14.6716365307,0
796,5256,0.0154768698,0.1442572002,8.7227662047,0
2233,3738,0.0048165100,0.1469569218,-3.7902453214,0
544,5555,0.0951119065,0.1524061699,6.5662518072,0
1538,3319,0.0342796843,0.1765162368,6.8350282742,0
261,2729,0.1678119924,0.1788881936,7.2636312045,0
730,5153,0.1102224034,0.1830102770,7.6454053124,0
103,3319,0.0000140990,0.1903192730,7.0177551963,0
819,5997,0.0858014817,0.1993363901,13.1648268028,0
1606,4610,0.0016781567,0.2037037787,1.2475955967,0
1371,3906,0.0641208188,0.2054135277,1.9371639298,0
1310,4550,0.1772858884,0.2076962880,10.6762096876,0
1908,3748,0.1809468177,0.2091930176,3.9043623224,0
1259,3319,0.0044140336,0.2116063575,13.9417065680,0
2459,5240,0.1058559345,0.2161721580,7.4883116830,0
513,5524,0.0002570281,0.2163626086,5.4643265191,0
514,4263,0.1550950920,0.2175029090,12.2052564785,0
798,3662,0.0195738182,0.2344458306,1.1810556020,0
2210,5719,0.0197029385,0.2368529345,11.7983728368,0
