Time,PopSize,InTreatment
1.0000000000,4134,0
2.0000000000,4168,0
3.0000000000,4227,0
4.0000000000,4286,0
5.0000000000,4348,0
6.0000000000,4425,0
7.0000000000,4532,0
8.0000000000,4612,0
9.0000000000,4726,0
10.0000000000,4829,0
11.0000000000,4937,6
12.0000000000,5045,10
13.0000000000,5150,19
14.0000000000,5280,50
15.0000000000,5402,104
16.0000000000,5503,178
17.0000000000,5598,276
18.0000000000,5666,337
19.0000000000,5764,401
20.0000000000,5846,462
21.0000000000,5924,545
22.0000000000,6004,600
23.0000000000,6074,646
24.0000000000,6175,682
25.0000000000,6245,707
26.0000000000,6327,745
27.0000000000,6421,776
28.0000000000,6558,819
29.0000000000,6691,839
30.0000000000,6822,870
31.0000000000,6953,889
32.0000000000,7095,917
33.0000000000,7270,953
34.0000000000,7440,968
35.0000000000,7634,1006
36.0000000000,7799,1036
37.0000000000,7975,1042
38.0000000000,8154,1057
39.0000000000,8362,1097
40.0000000000,8574,1130
