"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
680,3319,0.0000149224,0.0061191133,14.6890273969,0
1383,2233,0.0000003278,0.0172401355,3.5628733508,0
114,3729,0.0171705941,0.0199305186,14.4625928355,0
689,3751,0.0001076575,0.0239822422,7.5584824727,0
320,3223,0.0000041635,0.0264246391,4.0076600423,0
117,4023,0.0083252891,0.0339743298,11.2227187543,0
1000,2201,0.0036025440,0.0368547758,6.8052959914,0
1371,3738,0.0180767456,0.0438211454,1.9379818508,0
889,3336,0.0000019236,0.0456328885,5.7383550870,0
1569,3319,0.0000320654,0.0645962163,10.5695823295,0
697,3748,0.0006560134,0.0753661164,6.7718565953,0
224,2004,0.0734331401,0.0957182630,5.3417747087,0
118,3336,0.0559204886,0.1026048265,8.7418689557,0
294,4023,0.0210297364,0.1054354435,6.6904872520,0
1051,3671,0.0003657878,0.1069590338,4.8961548685,0
355,3630,0.0000093054,0.1088051208,5.4550678924,0
787,2085,0.0724991285,0.1147304706,9.8420036933,0
888,3076,0.0018984052,0.1148792034,15.3747168113,0
888,4023,0.0486173036,0.1148792034,23.1384692666,0
760,3076,0.0178964586,0.1236872502,11.1711247827,0
922,3076,0.0085690695,0.1236872502,4.5570187380,0
1044,3076,0.0000224202,0.1236872502,-23.2379077366,0
1432,3076,0.0180505565,0.1236872502,-1.9923944131,0
481,3336,0.0052887131,0.1369702778,2.7613510140,0
807,3515,0.0045333756,0.1431354438,4.2163218781,0
815,3850,0.0411662826,0.1443698079,12.4769636711,0
1889,3465,0.0043794533,0.1446592459,8.2685442548,0
1371,2004,0.0630117371,0.1449920692,1.6042308795,0
1051,3625,0.0005441555,0.1561401284,0.2724847661,0
1051,4096,0.0000372223,0.1614198689,-3.3561028763,0
889,4137,0.0080036707,0.1651337617,2.3980860878,0
1874,2831,0.0068556498,0.1709559030,2.4203443553,0
263,3515,0.1043166692,0.1739421646,0.5756021434,0
1614,2925,0.1633528180,0.1762342734,11.9842168522,0
1990,3219,0.0029840522,0.1779539771,11.2081563386,0
876,4121,0.0496292286,0.1793384812,3.1334222372,0
744,2320,0.0000147489,0.1810296250,7.1245515237,0
789,3180,0.0412271779,0.1855401423,11.9287039136,0
464,3748,0.0000098728,0.1900436745,4.9780108956,0
1181,3888,0.1013698709,0.2182437976,9.9882737890,0
1039,3319,0.0000004849,0.2201902829,1.3016514256,0
1383,2533,0.0074652332,0.2232331561,4.3219320575,0
443,2915,0.1343385703,0.2331056368,-2.1171566061,0
887,3739,0.1512825921,0.2713066799,7.2660032150,0
252,2835,0.0337284292,0.2901360957,-1.3425236471,0
618,3266,0.2825917676,0.2929761824,14.3905164430,0
1614,3574,0.0032089080,0.2937591181,14.6807571484,0
1797,2915,0.2380430603,0.3069722029,-1.8439119425,0
