Time,PopSize,InTreatment
1.0000000000,3956,0
2.0000000000,3984,0
3.0000000000,4042,0
4.0000000000,4096,0
5.0000000000,4174,0
6.0000000000,4247,0
7.0000000000,4323,0
8.0000000000,4399,0
9.0000000000,4489,0
10.0000000000,4599,0
11.0000000000,4688,13
12.0000000000,4803,23
13.0000000000,4930,47
14.0000000000,5024,90
15.0000000000,5135,118
16.0000000000,5237,178
17.0000000000,5335,231
18.0000000000,5392,286
19.0000000000,5457,343
20.0000000000,5525,387
21.0000000000,5607,450
22.0000000000,5702,494
23.0000000000,5784,524
24.0000000000,5851,558
25.0000000000,5946,577
26.0000000000,6047,592
27.0000000000,6151,625
28.0000000000,6274,642
29.0000000000,6374,664
30.0000000000,6522,692
31.0000000000,6648,733
32.0000000000,6800,759
33.0000000000,6972,785
34.0000000000,7149,813
35.0000000000,7313,843
36.0000000000,7509,888
37.0000000000,7669,928
38.0000000000,7877,975
39.0000000000,8067,1004
40.0000000000,8289,1055
