"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
1039,2790,0.0000330104,0.0060081380,4.8014444188,0
1383,2430,0.0020059856,0.0068612424,5.9180634436,0
948,3336,0.0037133713,0.0130929806,0.2903911700,0
1166,3750,0.0256276653,0.0298270529,0.3133448131,0
1051,3350,0.0000021293,0.0316717542,-0.4223313513,0
431,3085,0.0076358536,0.0416427141,0.9698623455,0
1004,3920,0.0070102677,0.0416433734,1.4623896876,0
318,2233,0.0102809728,0.0488525120,1.6368653062,0
910,3319,0.0048347527,0.0527047990,10.3365356115,0
513,3574,0.0001350976,0.0529971358,7.9691156559,0
574,1968,0.0000001973,0.0658314239,7.6586062458,0
1618,3319,0.0005466689,0.0772245481,15.8877622711,0
318,2790,0.0026911274,0.0797177243,5.2014555963,0
514,3630,0.0056732824,0.0914863446,13.4561596687,0
1326,3190,0.0319217406,0.1016770027,9.1074680626,0
348,3748,0.0319414442,0.1072083304,7.1505067955,0
484,2004,0.0540047915,0.1124939905,11.1394986053,0
1000,3190,0.0345666766,0.1148532788,16.2618757954,0
680,3850,0.0001125667,0.1528201092,5.8682701347,0
1761,3684,0.0872511799,0.1560494273,-2.0032700139,0
458,3009,0.0823325050,0.1607478995,8.2364286956,0
574,3009,0.0019759997,0.1607478995,13.7685096216,0
744,3009,0.0058174674,0.1607478995,8.4512843890,0
1402,3009,0.0601049846,0.1607478995,4.6678736323,0
1649,3009,0.0336957066,0.1607478995,12.4884070228,0
1039,2104,0.0569214286,0.1617543240,2.8802751985,0
221,2118,0.0890983208,0.1652308491,3.5670566494,0
1697,3849,0.1565011683,0.1730240272,5.9320326404,0
565,2975,0.1611665847,0.1755001697,9.7735054445,0
1247,1968,0.0000589759,0.1755350749,4.0755763666,0
1044,2144,0.0000361107,0.1845161477,9.5054501217,0
82,3748,0.0364986795,0.1860923849,4.0670013955,0
815,3850,0.0302252624,0.2010417844,12.4769636711,0
1208,3664,0.0003221603,0.2011283129,6.9196781426,0
1239,3738,0.0138762982,0.2147050422,2.6351820662,0
148,2808,0.0146360859,0.2164610644,7.1597615356,0
919,2104,0.1603156124,0.2214066308,11.0198649787,0
896,3748,0.1395325733,0.2357780703,7.4832068347,0
916,3748,0.0000023671,0.2457695381,12.0371558008,0
623,3630,0.0871925630,0.2533968728,13.7323101977,0
1082,3319,0.0007791643,0.2577374107,8.3559125475,0
1004,2979,0.1564499474,0.2662086909,6.1711899312,0
1391,1900,0.0031898363,0.2768174801,5.9673843186,0
1649,1949,0.0006936596,0.2825687040,15.5320235749,0
54,3751,0.0001551205,0.2836828686,15.5175849677,0
752,3748,0.0011922810,0.2850805042,1.4211862739,0
638,1955,0.0028624087,0.2908213050,6.9075052172,0
218,3829,0.0252223150,0.2944684413,-1.1441003196,0
1179,2979,0.0265120236,0.2976227819,5.7906045446,0
1051,3116,0.0099592536,0.2988956452,3.7545445356,0
1000,2915,0.0000000030,0.3035403226,11.7036646596,0
1166,3368,0.0005253823,0.3040634753,1.7732289794,0
428,1941,0.0373444207,0.3052210165,3.9537143963,0
641,3515,0.0100617731,0.3067497238,1.9644166129,0
1383,2058,0.0065863757,0.3075193884,2.6449742546,0
355,3962,0.0349345642,0.3081180581,8.2768007428,0
451,2686,0.0139483444,0.3345398959,6.2975149798,0
821,3053,0.2159084086,0.3402476911,11.4981366891,0
855,2566,0.2463184406,0.3419199358,-1.8647311530,0
1143,3945,0.3196722446,0.3538870914,13.5929614223,0
1141,2927,0.0749230781,0.3544164653,4.8298993423,0
916,2835,0.0027386623,0.3650570780,6.5141439943,0
1113,1872,0.0114979615,0.3708752417,6.0086036965,0
1208,3319,0.0000368680,0.3722539841,19.8383020036,0
1098,2694,0.2984975483,0.3807137817,4.1044777083,0
1179,1941,0.0000000142,0.3963498750,-4.8563438775,0
1383,1907,0.0009892925,0.3976374001,-3.3025400305,0
278,3860,0.0567859524,0.3991556620,9.9495199991,0
1260,2439,0.1244631288,0.4220527294,16.3779827854,0
1671,3190,0.1579103640,0.4342053291,5.6523670233,0
1044,3212,0.0010124327,0.4448791608,13.0353146827,0
103,2831,0.0037428219,0.4492505929,5.9572129363,0
1595,3630,0.0911270446,0.4511034236,6.0039773217,0
1280,3748,0.0183132359,0.4621924754,9.2491758209,0
876,2004,0.0694609799,0.4634552527,13.9908943972,0
680,1949,0.1449728487,0.4673436969,1.5209166271,0
1327,2841,0.1606264471,0.4673696788,8.2919068618,0
1051,3846,0.4184084359,0.4700315851,2.3943879504,0
1743,3818,0.0102443088,0.4830165691,1.7046596324,0
428,3229,0.0404406672,0.4910788754,3.4485431226,0
541,3748,0.0002135957,0.4931913415,-0.4627380122,0
1177,2804,0.0643427934,0.4955336622,10.3134016734,0
1784,2790,0.2167408942,0.5036212151,1.6146184387,0
536,2721,0.0842472058,0.5060964642,11.3586848596,0
1523,2876,0.1659662995,0.5061091650,1.0815457799,0
1371,2831,0.0213028458,0.5383282228,4.7324822091,0
1206,3636,0.0498018052,0.5431013268,6.1806162844,0
675,3902,0.2260355417,0.5479505334,11.7547761187,0
916,3748,0.2514506231,0.5497430686,12.0371558008,0
1113,2602,0.4028199954,0.5504791276,4.2166794345,0
1087,3319,0.0181861376,0.5530750993,10.2764477300,0
1427,3748,0.0143350231,0.5568319449,5.7387767206,0
1774,3336,0.0523909511,0.5570094408,5.5467031125,0
798,3527,0.5130149453,0.5578199032,3.1982695824,0
916,2835,0.3834305755,0.5581586428,6.5141439943,0
252,1854,0.0012906810,0.5594002626,4.0134587639,0
554,3368,0.0201213110,0.5791386261,11.3853990057,0
759,3319,0.0029875652,0.5795992492,14.7732493447,0
916,2388,0.0159291965,0.5825240103,5.4547584854,0
1375,3694,0.4046983955,0.5842749592,2.5459628529,0
1743,2118,0.0603337876,0.5940708818,-4.7246819822,0
544,2708,0.1170057793,0.5956421619,5.8341092268,0
1113,3748,0.0716820614,0.5968827809,8.9362814557,0
797,2867,0.3759732513,0.6060514350,1.6131644065,0
1179,2047,0.0225119668,0.6064637121,3.4236658870,0
1304,2317,0.1805608534,0.6147692623,-1.0254163589,0
644,3807,0.0257404475,0.6166365322,6.1778524135,0
1215,3863,0.3191495017,0.6266366329,9.8162762618,0
641,3056,0.3535604360,0.6324394294,-0.8119924864,0
1262,3480,0.0226363445,0.6335948270,6.3261162505,0
1692,1975,0.1458709651,0.6360573006,4.0892030681,0
726,2919,0.1914024179,0.6368748964,6.6096054460,0
1542,3823,0.2473356064,0.6415694933,15.9215765449,0
952,3287,0.2261647447,0.6421903657,6.2938926507,0
1592,1817,0.6357622108,0.6427586667,-0.1004568502,0
787,2267,0.0000450109,0.6441364628,12.3316252238,0
258,3319,0.0179710296,0.6459793849,8.5742147437,0
807,3237,0.4516861687,0.6467711726,2.7023177438,0
1213,2047,0.2775640103,0.6481473412,7.3380918569,0
1095,3489,0.2996159151,0.6496289879,5.4692018449,0
1051,3644,0.0006152758,0.6532350061,4.0441116141,0
807,3319,0.1613553911,0.6564079405,-0.6340947352,0
274,3480,0.2200661270,0.6625025216,8.8063362511,0
1383,2209,0.0092573596,0.6653502001,4.8054743289,0
576,2439,0.4278513534,0.6833796849,13.7111988634,0
168,2004,0.0156949758,0.6858543001,7.8220433087,0
1614,3368,0.0012738243,0.6989774173,3.1938609728,0
320,1968,0.0000180872,0.7039514074,9.2319526995,0
1735,3289,0.1272654201,0.7082960260,9.5153684764,0
1513,2831,0.0331609850,0.7095356182,8.3726167078,0
630,3738,0.1026313294,0.7099425500,4.0128390674,0
1417,2549,0.0559768640,0.7122804800,18.2108372410,0
1417,3729,0.0314103673,0.7122804800,18.6084851201,0
897,2915,0.0728794631,0.7423873630,5.2424709423,0
926,3515,0.0000000009,0.7493683906,2.2077593475,0
1766,3190,0.0183529939,0.7569811688,1.9858085689,0
1540,2221,0.1080085981,0.7584324868,8.6643869776,0
1326,2317,0.0000022936,0.7608185825,6.0523958327,0
573,3795,0.2138446677,0.7665328838,5.8658738030,0
1618,3319,0.0813332773,0.7717106672,15.8877622711,0
29,2702,0.6461585860,0.7759262970,6.3213704585,0
1659,3751,0.3161539304,0.7828959328,7.7600632234,0
1798,3906,0.2951115667,0.7874408700,3.4057335889,0
1371,2582,0.2298601258,0.7883417275,-3.9459922466,0
948,3336,0.0142971949,0.7899527240,0.2903911700,0
813,3885,0.2286067426,0.7914593112,1.6375636261,0
1769,3748,0.0015972376,0.7915222241,0.0290281678,0
1284,1941,0.0361773678,0.7917020381,3.6586879009,0
916,3636,0.2288499527,0.7957340922,7.4053680690,0
1516,2561,0.0245632420,0.7995063252,3.2611760415,0
165,1817,0.6880251152,0.8051675043,3.5580678617,0
804,2007,0.5981492018,0.8103601300,18.4518164842,0
428,3085,0.4853502293,0.8115759548,5.6645632463,0
1051,3818,0.0019561260,0.8145694536,7.3750963566,0
136,1900,0.3455258080,0.8175868677,9.5044623109,0
1798,1872,0.0536918263,0.8213817724,8.2631395534,0
680,3516,0.2339267944,0.8215283316,10.8971740553,0
1383,2842,0.0357094363,0.8331853143,3.7483705483,0
1005,3611,0.1548664664,0.8382047757,3.5323070816,0
1670,2915,0.0004907902,0.8416656478,5.7828214934,0
218,3829,0.4326497268,0.8438610629,-1.1441003196,0
1523,2876,0.7665112971,0.8580324437,1.0815457799,0
1239,3785,0.0430772228,0.8626101025,-0.6554233301,0
