Time,PopSize,InTreatment
1.0000000000,7889,0
2.0000000000,7928,0
3.0000000000,8035,0
4.0000000000,8136,0
5.0000000000,8285,0
6.0000000000,8478,0
7.0000000000,8677,0
8.0000000000,8895,0
9.0000000000,9086,0
10.0000000000,9288,0
11.0000000000,9524,9
12.0000000000,9713,18
13.0000000000,9946,51
14.0000000000,10132,130
15.0000000000,10339,245
16.0000000000,10533,377
17.0000000000,10741,522
18.0000000000,10947,653
19.0000000000,11116,783
20.0000000000,11309,865
21.0000000000,11465,966
22.0000000000,11580,1051
23.0000000000,11772,1113
24.0000000000,12002,1188
25.0000000000,12193,1244
26.0000000000,12412,1286
27.0000000000,12655,1330
28.0000000000,12867,1376
29.0000000000,13103,1443
30.0000000000,13392,1500
31.0000000000,13649,1544
32.0000000000,13959,1581
33.0000000000,14291,1652
34.0000000000,14610,1698
35.0000000000,14994,1746
36.0000000000,15353,1804
37.0000000000,15742,1860
38.0000000000,16153,1911
39.0000000000,16545,1976
40.0000000000,17017,2042
