Time,PopSize,InTreatment
1.0000000000,7500,0
2.0000000000,7451,0
3.0000000000,7387,0
4.0000000000,7332,0
5.0000000000,7267,0
6.0000000000,7194,0
7.0000000000,7130,0
8.0000000000,7078,0
9.0000000000,7017,0
10.0000000000,6953,0
11.0000000000,6895,0
12.0000000000,6857,0
13.0000000000,6833,0
14.0000000000,6800,0
15.0000000000,6764,0
16.0000000000,6743,0
17.0000000000,6674,0
18.0000000000,6610,0
19.0000000000,6497,0
20.0000000000,6384,0
21.0000000000,6281,0
22.0000000000,6164,0
23.0000000000,6021,0
24.0000000000,5875,0
25.0000000000,5746,0
26.0000000000,5627,0
27.0000000000,5498,0
28.0000000000,5374,18
29.0000000000,5246,33
30.0000000000,5126,41
31.0000000000,5023,66
32.0000000000,4922,79
33.0000000000,4802,91
34.0000000000,4698,133
35.0000000000,4604,123
36.0000000000,4523,111
37.0000000000,4421,137
38.0000000000,4339,139
39.0000000000,4235,132
40.0000000000,4150,139
