Time,PopSize,InTreatment
1.0000000000,1192,0
2.0000000000,1184,0
3.0000000000,1173,0
4.0000000000,1169,0
5.0000000000,1173,0
6.0000000000,1170,0
7.0000000000,1168,0
8.0000000000,1168,0
9.0000000000,1184,0
10.0000000000,1195,0
11.0000000000,1202,0
12.0000000000,1209,0
13.0000000000,1223,0
14.0000000000,1238,0
15.0000000000,1232,0
16.0000000000,1229,0
17.0000000000,1235,0
18.0000000000,1246,0
19.0000000000,1263,0
20.0000000000,1264,0
21.0000000000,1282,0
22.0000000000,1282,0
23.0000000000,1299,0
24.0000000000,1302,0
25.0000000000,1316,0
26.0000000000,1334,0
27.0000000000,1348,2
28.0000000000,1361,6
29.0000000000,1371,7
30.0000000000,1377,8
31.0000000000,1389,9
32.0000000000,1397,11
33.0000000000,1408,12
34.0000000000,1423,16
35.0000000000,1430,21
36.0000000000,1436,22
37.0000000000,1437,23
38.0000000000,1446,27
39.0000000000,1457,35
40.0000000000,1465,34
