"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
494,1051,0.0000547759,0.0046057092,7.6118701114,0
361,1051,0.0000031070,0.1702355290,3.0067162906,0
475,855,0.0167026113,0.1879105486,9.8873075419,0
229,1051,0.0257829734,0.2575297608,5.4477420456,0
252,665,0.2090315158,0.3502617423,3.0499480568,0
552,1179,0.3398147983,0.5184163865,9.2720785757,0
259,837,0.4380825599,0.5421599597,14.4512698556,0
320,944,0.0080485444,0.6050399345,16.2739905733,0
220,1108,0.3344182408,0.6246274006,10.1068691855,0
513,662,0.6397039328,0.6891639325,10.5883531379,0
475,1051,0.0672238587,0.7143810191,3.4459620022,0
321,1176,0.4272206457,0.7226761539,10.3248033743,0
118,1182,0.5756430536,0.7536419439,8.3067613976,0
597,1044,0.0072422510,0.8038843433,13.4466035701,0
485,889,0.0041543985,0.8132718313,5.7447411743,0
147,1153,0.6204441675,0.8317727117,7.8175670712,0
471,1128,0.0026999897,0.8386040384,1.0979060202,0
285,798,0.0298841909,0.8597279360,-2.7336737241,0
128,840,0.6844089098,0.8627997664,9.1369831456,0
320,720,0.0441673744,0.8835313843,8.1563176701,0
320,744,0.0019464937,0.8835313843,6.8905716863,0
320,830,0.3787171538,0.8835313843,15.8598138215,0
320,944,0.6374002505,0.8835313843,16.2739905733,0
320,1000,0.0000000058,0.8835313843,17.4212964514,0
320,1177,0.0169782486,0.8835313843,1.4385006398,0
27,798,0.0542587150,0.8920923641,5.7613452560,0
252,1168,0.3480222483,0.9245837696,5.4762445764,0
106,1084,0.7736625342,0.9331257644,11.9336807405,0
37,771,0.5649985725,1.0081812167,9.9559177307,0
379,1063,1.0727945558,1.0835642525,8.6128495850,0
423,756,0.2224965657,1.0906356570,19.0464446888,0
224,1051,0.0003376021,1.1473083656,4.4307778900,0
258,1142,0.0001116408,1.1519929706,6.6708989544,0
183,881,0.0703666329,1.2104985879,8.8286614050,0
183,893,0.0118848172,1.2104985879,12.7182358562,0
183,1018,0.5505738671,1.2104985879,12.8529898228,0
183,1124,0.0012321563,1.2104985879,6.8379967967,0
8,855,0.0034544211,1.2142845634,-0.5169646122,0
328,1039,1.0179440560,1.2183745681,10.5508014739,0
300,1051,0.0643036813,1.2232335435,9.1457437515,0
459,697,0.9264799937,1.2302700269,8.9830201798,0
513,1039,0.0000088666,1.2884718029,9.2029641647,0
191,1179,0.4841744909,1.3032864488,5.4919020291,0
285,1046,0.7875710638,1.3279675746,0.6534241484,0
27,840,0.9607069753,1.3622825682,9.0826111221,0
554,608,1.2989726157,1.3980552085,12.9312847301,0
215,925,1.3385218435,1.4133583919,7.1811934861,0
252,1179,0.0000007110,1.4418289413,-4.3771267963,0
459,729,1.4336105202,1.4457648616,7.4716059004,0
1,1000,0.9676543859,1.4890231966,8.8478872382,0
229,1051,0.3720559689,1.4917571988,5.4477420456,0
119,664,1.1886287178,1.4948138309,9.5312848150,0
202,835,1.0784042771,1.5125735293,4.8529343320,0
43,1051,0.2755242590,1.5307054949,-0.6299027903,0
548,1026,0.9609766568,1.5423444988,15.7950970719,0
438,1051,0.0009165530,1.5441095770,3.7546303118,0
252,889,0.0004001446,1.5476357685,-1.8422417468,0
522,926,0.2053970633,1.5515311681,0.3095107918,0
146,753,1.5518625822,1.5537195737,-2.2062769353,0
441,1039,0.2059305319,1.6195163665,6.2119031074,0
459,608,0.6946864023,1.6856775450,-0.6508567950,0
516,1000,0.2482787713,1.7415592360,14.8348422689,0
96,1179,1.2990229057,1.7556265223,4.9429444514,0
103,1179,0.0057214192,1.7556265223,2.3893634250,0
224,1179,0.1494100230,1.7556265223,4.9021765270,0
252,1179,1.4418543950,1.7556265223,-4.3771267963,0
355,1179,0.0080300863,1.7556265223,16.3882206483,0
441,1179,0.9137271868,1.7556265223,2.8851627617,0
494,1179,0.2374685054,1.7556265223,8.0832687485,0
513,1179,0.0001438559,1.7556265223,5.8762238190,0
552,1179,0.6748065821,1.7556265223,9.2720785757,0
480,787,0.3431254080,1.7595577276,8.1898661795,0
440,1101,0.3986575749,1.7896815114,10.9991194293,0
471,641,0.0864593173,1.8967385696,-0.1318642425,0
27,798,1.0767280270,1.9021190934,5.7613452560,0
146,1046,1.1829299065,1.9267036759,-0.3791008537,0
352,798,1.6089793800,1.9345761376,-4.3134674934,0
8,1111,1.2876341340,1.9391552261,4.3128049280,0
592,926,0.0097490123,1.9526361564,3.8025643966,0
278,919,0.0031313829,1.9962041311,12.2461963508,0
533,1044,1.8818592057,2.0249909788,22.2854153034,0
162,695,1.2261963090,2.0630208500,11.9361674788,0
162,787,0.8106258239,2.0630208500,10.8112171904,0
402,1039,0.1335008871,2.0718665876,9.6534926504,0
120,1051,2.0791969275,2.0894478571,9.0629582508,0
484,715,0.8706612072,2.1446890425,10.3577333052,0
103,1128,1.0107168153,2.1825647700,11.1335254594,0
34,1039,0.0000219184,2.1960213037,6.2556374448,0
252,700,1.5105191564,2.2309466373,6.5828018186,0
590,872,1.2512285808,2.2363376218,9.2185157339,0
574,1021,0.4302063477,2.2768953821,16.7758033422,0
147,926,0.9063594703,2.2936748326,5.0809397144,0
189,1177,0.2115683227,2.3023154225,11.7242057892,0
313,1166,0.0007264439,2.3292754346,6.7713379595,0
34,1039,2.1970225889,2.3304525000,6.2556374448,0
356,919,1.0588529084,2.3329944374,9.3143054266,0
102,926,0.0016385225,2.3490707873,-0.5444034947,0
458,712,1.1309727835,2.3830840726,14.9590864831,0
592,1182,1.5749086724,2.3887813953,4.3696479379,0
438,1051,1.5594474992,2.4501411390,3.7546303118,0
451,916,0.0318008976,2.4863856420,2.5054180988,0
415,662,0.2539690939,2.5212529669,5.5219843791,0
25,1004,1.3531689618,2.5375869458,6.3437770878,0
431,1051,0.0157192625,2.5493119746,3.6439587361,0
267,660,1.0479008731,2.5609945330,8.3938424116,0
325,910,2.3230552696,2.5641370487,14.2866592514,0
409,1039,2.0775981851,2.5655175740,5.5898499942,0
97,1175,0.0291498230,2.5910406067,10.4988862453,0
398,1015,2.4873801980,2.6288228606,1.3768062462,0
321,1075,1.1060645612,2.6483744896,7.5732387260,0
15,1044,0.0507746323,2.7150858232,8.6934808677,0
222,1046,1.1248734178,2.7151846192,0.5467117412,0
278,608,0.1840561860,2.7256551945,9.2109271709,0
41,1000,0.2622339516,2.7315528240,12.6635012518,0
339,926,0.2151907819,2.7412345541,-0.5185313221,0
397,926,0.0046570293,2.7514066917,-1.2991917979,0
431,1151,0.0533152348,2.7560130793,8.9121314674,0
130,664,2.1160464598,2.7642479397,17.9987224334,0
410,1166,1.2322688026,2.7874518718,6.6152058757,0
81,996,0.0027286484,2.8059856656,7.6219725053,0
485,916,1.0106726530,2.8648368602,-0.2696847203,0
541,1046,1.5482982225,2.8654326152,1.1597664673,0
253,634,0.0184445485,2.8811286279,10.9187716988,0
253,695,0.9523305348,2.8811286279,10.6646211297,0
253,1124,0.2957304524,2.8811286279,10.5088769677,0
253,1177,0.6982066936,2.8811286279,7.8673459615,0
97,758,0.7606509520,2.8964905825,7.5520918875,0
574,887,0.3255508360,2.8965288148,10.1279049127,0
224,1051,1.1653817668,2.9556404271,4.4307778900,0
252,627,1.5419568236,2.9618790413,6.5779781175,0
570,1046,0.6792727127,2.9652896017,0.2603894227,0
327,895,0.5547694734,3.0435405897,15.5704382634,0
305,889,2.4864265987,3.0745621176,4.8707132486,0
87,641,0.9935583119,3.0781825066,3.4866216317,0
514,811,2.7104110110,3.0980150936,13.3865186866,0
513,1113,0.4611242281,3.1064406256,5.4975573190,0
594,1000,0.0000526871,3.1365019417,13.4062436769,0
34,1103,1.6638680970,3.1428265429,10.2916149245,0
8,1111,1.9676727867,3.1461316823,4.3128049280,0
165,1169,2.1697942461,3.1754202644,4.5181531408,0
321,1151,1.6668863357,3.1762622704,12.2191691752,0
305,1051,0.3141561234,3.2887777565,1.8644295621,0
285,1046,1.3307392823,3.3068036272,0.6534241484,0
593,1000,0.0046805890,3.3070023567,6.8340540183,0
149,726,2.9468360750,3.3126321769,10.2291743373,0
291,784,2.9422995145,3.3162032814,12.5785178981,0
168,1004,1.5023117283,3.3204171192,7.0018597403,0
252,966,0.1254797467,3.3606572932,-2.1173444883,0
408,1015,3.0653340261,3.3731682579,1.9094147842,0
469,1151,2.8971314031,3.3738643609,10.5499750557,0
470,798,0.0257293687,3.4759061157,4.6917933320,0
165,624,3.1263876047,3.4818808817,5.6477587759,0
1,1000,1.6985659797,3.5399014409,8.8478872382,0
27,840,1.7060629051,3.5681187806,9.0826111221,0
355,919,0.0035260910,3.6049882359,11.5753712139,0
27,840,3.6032477717,3.6154551937,9.0826111221,0
261,1153,2.2117865533,3.6313793062,9.1610619605,0
346,800,0.8482192073,3.6573299654,8.5688276502,0
33,675,0.1739606905,3.6925492349,18.4199345751,0
97,675,0.0525785693,3.6925492349,10.0709781775,0
150,675,0.0474750079,3.6925492349,18.6499081833,0
34,840,0.6334334368,3.7087211010,13.0431845279,0
415,662,2.5968686475,3.7144911475,5.5219843791,0
538,787,0.2307365882,3.7222145617,15.3137237404,0
462,672,1.9155425004,3.7263872783,7.4308143253,0
335,1051,0.0034798427,3.7276982635,6.0602050926,0
8,855,1.2714075881,3.7285968623,-0.5169646122,0
252,700,2.3004970892,3.7538243186,6.5828018186,0
402,1039,2.5678770455,3.7809895380,9.6534926504,0
266,1048,1.0162162745,3.7816750336,5.0286396630,0
455,1044,1.2972130333,3.7866777955,23.8878287655,0
65,947,1.4021357064,3.7887633447,3.5151259949,0
425,664,0.0091811436,3.8158134830,13.3510703619,0
154,1039,0.3880654609,3.8410486305,5.6415404726,0
339,768,3.3799429914,3.8766926557,5.1063772353,0
458,735,0.3116922433,3.9438387218,10.5198529729,0
545,618,0.1274300263,3.9484501926,15.5285289964,0
355,856,3.9513418763,3.9986196650,9.6412772826,0
355,910,2.0214239406,3.9986196650,10.6800768082,0
355,919,3.6157973260,3.9986196650,11.5753712139,0
355,1000,0.0000000157,3.9986196650,6.8843254739,0
355,1037,2.7484016808,3.9986196650,11.8813076510,0
355,1051,0.0003524398,3.9986196650,15.9168220113,0
593,1000,3.8224714622,4.0443772085,6.8340540183,0
103,1128,2.4097932157,4.1163851790,11.1335254594,0
485,1151,1.9816723529,4.1317704702,8.0066302190,0
425,609,2.9045247357,4.1468666755,11.3496269013,0
425,664,3.8596428325,4.1468666755,13.3510703619,0
425,767,2.0750443788,4.1468666755,10.4828567353,0
425,815,0.0001009094,4.1468666755,4.1080177718,0
425,1052,0.0085224182,4.1468666755,7.1435371418,0
558,1094,2.5380668398,4.1551544994,-0.5113411952,0
530,913,3.6263116920,4.1646785633,6.6653307808,0
202,724,3.1099487945,4.1776405291,13.5163043473,0
285,1046,3.3799902093,4.1928982334,0.6534241484,0
485,879,2.3201643409,4.2365168756,6.2955725969,0
8,901,3.1831847482,4.2477585728,5.6575153146,0
136,1121,1.8778978575,4.3174581356,10.5926406656,0
485,889,0.8177699180,4.3335738991,5.7447411743,0
451,785,0.6413807624,4.3438468386,4.4700336426,0
65,926,1.9956748096,4.4212138909,4.8865770625,0
471,768,3.9341167680,4.4212467369,5.2497015803,0
210,855,0.1082293968,4.4222655013,9.0857254472,0
513,1113,3.6628080985,4.4278793375,5.4975573190,0
554,996,0.0067267310,4.4699587047,14.0990625798,0
494,1051,0.0055593740,4.4796660460,7.6118701114,0
54,1044,0.0000233355,4.5175679134,13.1523766594,0
544,1161,0.4512584515,4.5225326902,9.1339687107,0
252,665,1.0535215934,4.6248963007,3.0499480568,0
439,687,1.3765697081,4.6489050800,6.7221136670,0
462,1043,3.0420935708,4.6733409295,6.2795545538,0
428,1138,2.1108905220,4.7185063174,5.5424926761,0
360,1000,0.0001054894,4.7261142899,11.1142939329,0
77,1123,2.0848565612,4.7733922308,6.8631101000,0
62,695,0.0194023394,4.7793846066,8.6037045167,0
62,744,0.0570226032,4.7793846066,11.2585003951,0
62,789,1.8287056761,4.7793846066,11.3317176129,0
552,726,4.4687529934,4.7925905268,3.8497555745,0
360,664,0.4102386424,4.7970249899,13.1919125356,0
464,977,3.5342653732,4.8034938675,4.2776681013,0
587,759,2.0853702374,4.8495730902,14.3963775680,0
351,644,2.5858641023,4.8691643287,8.9692495541,0
8,627,1.4778955357,4.8779514144,4.4681933990,0
161,1051,0.0064291573,4.8980190657,11.2950127922,0
229,1051,1.5260042096,4.9358655743,5.4477420456,0
128,1169,4.6544960254,4.9441753892,9.9797719220,0
398,624,2.7089586412,4.9551024900,1.5774089204,0
103,1103,1.7670994013,4.9841009169,9.7520812503,0
256,733,4.5936484129,5.0140057646,8.1726519148,0
218,989,3.3383415652,5.0146054508,3.6100825188,0
30,1094,3.2859937048,5.0212659501,3.7319545972,0
128,925,1.9887121648,5.0237003414,9.2239258639,0
574,679,2.5409734410,5.0251643398,12.3983386620,0
574,815,0.0000037015,5.0251643398,8.6825160102,0
574,987,1.5252947574,5.0251643398,6.5206188599,0
574,1177,0.0056157744,5.0251643398,-0.1348458139,0
489,695,3.9739315968,5.0352087335,11.8307671488,0
489,1044,0.0004705115,5.0352087335,10.9703155625,0
271,825,4.9786009045,5.1009661246,3.9990814894,0
148,618,0.0051880941,5.1060532414,5.6114129572,0
148,792,4.1562157903,5.1060532414,16.9626887577,0
148,860,0.8638815071,5.1060532414,15.7213888177,0
148,924,3.7204402988,5.1060532414,16.2796200330,0
148,1044,0.0000000031,5.1060532414,18.2662447115,0
148,1105,0.9778236017,5.1060532414,14.5270106576,0
148,1122,0.7005039026,5.1060532414,13.6332730041,0
148,1177,0.0000039857,5.1060532414,16.3294211297,0
470,840,4.1605559351,5.1112965292,8.0130591981,0
165,1169,3.7604582161,5.1130669300,4.5181531408,0
546,720,4.3289878731,5.1280106636,10.8582866086,0
546,721,2.1107569411,5.1280106636,11.8834688169,0
391,855,0.6958553704,5.1315308575,6.7173310474,0
475,839,0.9768338941,5.1395214569,5.2216553718,0
153,752,4.4780077758,5.1936280960,5.0980683397,0
264,926,2.9924207401,5.1986951879,0.9690450668,0
326,1050,1.9097498795,5.2150296196,7.8599011111,0
32,1166,1.7141714631,5.2422233368,9.5489004994,0
379,652,4.2562271482,5.2427880699,8.2565513619,0
400,1124,0.2620873015,5.2499579917,14.4002906846,0
339,926,4.8747954511,5.2803268877,-0.5185313221,0
513,916,0.0115527960,5.2968690131,2.3966829739,0
365,1151,4.0683667390,5.3232760060,6.9443927169,0
189,1177,2.3711320540,5.3296845101,11.7242057892,0
486,893,2.0529778912,5.3331371324,10.3923033734,0
227,948,0.5424045354,5.3399818578,-0.2556683091,0
324,869,4.1925556489,5.3530207643,8.2245899080,0
352,798,2.3688184841,5.3544979434,-4.3134674934,0
128,799,4.0025969876,5.3679624581,10.1918170724,0
287,1039,0.4840162806,5.3843618843,9.2500722011,0
408,747,4.4750629528,5.3973070800,3.5730538592,0
9,672,2.4258760624,5.4314051061,7.4112704441,0
189,634,0.1710326432,5.4491917281,14.7756315265,0
426,634,0.3850940830,5.4491917281,12.7516953925,0
278,1064,0.0006355446,5.4952015229,13.0513908161,0
321,889,0.0097742344,5.4977797435,9.9572801305,0
252,1102,0.0041708542,5.5050493482,2.9941115998,0
415,855,0.0085381037,5.5253081339,6.7798019628,0
335,1051,4.0161344583,5.5303779504,6.0602050926,0
537,640,4.8729331006,5.5661588379,17.8678056122,0
537,1038,1.3412228695,5.5661588379,15.0736287082,0
338,979,1.2728991227,5.5739724901,8.7229622038,0
252,1126,4.8600542849,5.6005148299,9.7199681521,0
31,1059,2.7815881735,5.6179323933,3.0243171573,0
27,1128,1.0816126414,5.6435718840,7.7124857277,0
337,1051,0.0000178814,5.6477062021,8.0496091946,0
464,1111,4.1114139341,5.6563014692,7.2201123828,0
8,658,3.7965686671,5.6819210376,6.6775878885,0
542,817,5.4824941236,5.6845038724,7.9665750982,0
566,1155,3.5513830906,5.6949521891,6.4321334924,0
593,996,3.2409493754,5.7180792894,9.6576084281,0
418,901,2.6661826968,5.7405168288,5.4561708352,0
373,889,1.9665192066,5.7436099981,6.4780958447,0
247,662,0.7615652974,5.7508768864,5.2084878205,0
501,798,0.2897887802,5.7665534889,2.1392271641,0
410,1166,4.6164800271,5.7729022330,6.6152058757,0
384,876,0.9106150077,5.7902189247,14.2256087324,0
56,1191,3.5281735278,5.8108669382,2.3948751850,0
143,884,1.7998981381,5.8137656558,1.2688216850,0
174,680,0.2062214882,5.8238291059,12.3824703058,0
252,658,5.1511479827,5.8500931340,8.7873726070,0
263,878,5.6690939952,5.8523268738,6.0314330318,0
554,933,0.5251656488,5.8655681460,12.4871410062,0
215,925,3.0467126883,5.8671463593,7.1811934861,0
42,1124,0.0548677815,5.9178354735,13.0278692274,0
54,1124,1.9809620401,5.9178354735,13.8570840839,0
325,1124,0.1761446647,5.9178354735,-2.8503568884,0
366,1124,2.7822165189,5.9178354735,5.1365680870,0
576,1124,1.7473812754,5.9178354735,16.9918653873,0
324,622,5.5040839366,5.9276075705,4.3732640472,0
352,768,3.8006184025,5.9324030662,1.7894685384,0
54,1181,1.1229232872,5.9353169861,17.9285886118,0
79,807,0.4695766373,5.9358450128,2.1165404977,0
250,854,1.0882345446,5.9572589401,11.4838225761,0
65,798,0.0600596522,6.0101962407,4.4085495882,0
31,1059,5.8431161734,6.0316159410,3.0243171573,0
252,700,4.9595242552,6.0382569251,6.5828018186,0
1,1000,5.0683278951,6.0751506695,8.8478872382,0
293,1051,0.2992337047,6.0792237213,3.2643075585,0
312,659,4.7230766171,6.0990475963,1.2006105104,0
8,731,4.3500074465,6.1017829221,5.0874353417,0
275,915,4.3615867679,6.1205348626,5.3055033012,0
312,659,6.1000274045,6.1231810540,1.2006105104,0
27,798,4.2015208452,6.1584473646,5.7613452560,0
42,789,4.3956972468,6.1654168516,15.9116264854,0
99,1039,3.4895360619,6.1669666746,9.8235900318,0
555,658,4.2297636558,6.1964183991,6.2548237740,0
133,1052,2.9818597550,6.2128469562,12.5516704139,0
485,889,4.3345328165,6.2131546264,5.7447411743,0
