Time,PopSize,InTreatment
1.0000000000,2760,0
2.0000000000,2740,0
3.0000000000,2732,0
4.0000000000,2723,0
5.0000000000,2742,0
6.0000000000,2764,0
7.0000000000,2771,0
8.0000000000,2808,0
9.0000000000,2823,0
10.0000000000,2846,0
11.0000000000,2870,0
12.0000000000,2894,0
13.0000000000,2925,0
14.0000000000,2962,0
15.0000000000,2975,0
16.0000000000,2986,0
17.0000000000,3004,0
18.0000000000,3022,0
19.0000000000,3034,0
20.0000000000,3045,0
21.0000000000,3071,9
22.0000000000,3064,15
23.0000000000,3075,17
24.0000000000,3058,18
25.0000000000,3050,32
26.0000000000,3041,58
27.0000000000,3022,76
28.0000000000,3016,101
29.0000000000,3023,109
30.0000000000,3023,109
31.0000000000,3008,158
32.0000000000,3014,172
33.0000000000,3012,178
34.0000000000,3004,201
35.0000000000,2982,207
36.0000000000,2992,212
37.0000000000,3012,219
38.0000000000,3025,225
39.0000000000,3044,245
40.0000000000,3055,255
