"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
889,2790,0.0001310472,0.0042525844,5.5932997150,0
889,2790,0.0051388002,0.0068498297,5.5932997150,0
428,1545,0.0365778168,0.0486735466,3.5832132214,0
34,1299,0.0411518305,0.0726698280,6.4872684458,0
34,2256,0.0677243820,0.0851851795,9.4644032768,0
37,1968,0.0035717458,0.1003431097,6.6222609289,0
320,1968,0.0000031787,0.1003431097,9.2319526995,0
355,1968,0.0949609378,0.1003431097,-1.3050182781,0
574,1968,0.0000006971,0.1003431097,7.6586062458,0
1177,1968,0.0000030136,0.1003431097,7.7934520597,0
306,2256,0.1270720970,0.1330474649,10.4459622106,0
996,2118,0.0000228669,0.1348949375,7.1546968697,0
1000,1949,0.0000190399,0.1498817843,0.9641761760,0
956,2521,0.1200912467,0.1578563842,14.4858264131,0
618,1217,0.0000369016,0.1663608199,19.4102188976,0
618,1912,0.1590209963,0.1663608199,17.2102930575,0
618,2439,0.0000407709,0.1663608199,10.0788726548,0
618,2549,0.1237304234,0.1663608199,-0.9282184667,0
618,2577,0.0711778449,0.1663608199,13.9373719964,0
618,2723,0.0000037826,0.1663608199,13.0051677905,0
318,2790,0.0013613476,0.1899775994,5.2014555963,0
803,1808,0.0788552108,0.2006287532,14.2068701263,0
576,2548,0.0213796985,0.2211643375,12.4160751753,0
604,2439,0.2029543971,0.2333003314,11.8375814888,0
1000,1361,0.0152342733,0.2337971385,8.2290806723,0
948,2358,0.0893479063,0.2345958806,1.3318145887,0
221,2004,0.0035088659,0.2427890434,3.5322987261,0
926,1383,0.0000000007,0.2551864277,-6.2703279134,0
165,2729,0.0016433014,0.2609439398,1.6713225735,0
252,1325,0.0002987623,0.3069028741,4.8146111963,0
919,1326,0.0326692545,0.3072832855,2.4633619928,0
1044,2221,0.0000003128,0.3303487838,7.1908807702,0
544,1941,0.0004958177,0.3391450855,7.7941964885,0
215,1325,0.2139359184,0.3728904928,6.1717013316,0
321,1692,0.0001193185,0.3750958931,11.1448624620,0
1000,2285,0.0163822198,0.4028805461,8.9165902956,0
306,1299,0.1702361987,0.4330140059,7.4688273796,0
650,2262,0.0915841664,0.4627285226,13.4019361172,0
306,2528,0.3656903989,0.4851506414,2.4817961780,0
407,1383,0.1005605634,0.4963178049,5.1192362604,0
318,1817,0.4772698568,0.4993496592,7.0702617578,0
644,1383,0.0002648282,0.5236077963,1.5454893835,0
252,1779,0.0270025655,0.5601987059,4.8656149784,0
471,2525,0.3579683401,0.5912179491,-1.6182385115,0
165,2729,0.4176368123,0.5946520605,1.6713225735,0
421,2686,0.2180161528,0.5975284757,3.9988432946,0
798,2757,0.0013333194,0.5994719475,1.6783890792,0
787,2706,0.0659163076,0.6223729451,9.4974295297,0
1141,2233,0.1976109432,0.6416956738,6.0032928492,0
644,2089,0.3411983600,0.6692727282,4.2569862387,0
433,2004,0.4594636117,0.7203177548,6.8697215945,0
355,1326,0.0034440275,0.7401537307,14.0387332066,0
252,1304,0.0015280804,0.7428334293,0.3511979535,0
261,2004,0.4245048397,0.7532002257,-0.4070162517,0
266,1383,0.0009036185,0.7581729054,6.0378287242,0
770,2317,0.3875188476,0.7688733861,2.2507341889,0
253,1217,0.1088606086,0.7807001716,16.5595566867,0
361,1371,0.1700085232,0.7976137545,2.3134822298,0
1164,2602,0.7780411431,0.8006425464,2.4389169929,0
1112,1907,0.0910877249,0.8079521440,9.9541786979,0
191,1761,0.2207010910,0.8229172469,3.6193108194,0
798,1743,0.0000305477,0.8322800663,-1.5939834755,0
1003,1317,0.3480626203,0.8417369999,9.9238994534,0
693,1383,0.0213471373,0.8426618004,15.7931980778,0
996,1660,0.0037052616,0.8606761441,9.6993111287,0
306,2746,0.0027226737,0.8655092135,10.1374993656,0
1039,2790,0.0000268496,0.8703493455,4.8014444188,0
379,2513,0.0998085412,0.8766064296,3.1893125494,0
893,1889,0.0100965696,0.8809163400,9.0574427429,0
376,1649,0.0535754390,0.8829593564,12.5322346237,0
1179,1872,0.0005372995,0.8950671852,5.6299371965,0
1039,2602,0.0538752438,0.9105381385,0.5112725888,0
134,1402,0.6264898948,0.9289038784,8.9460872921,0
926,1604,0.0008764600,0.9309828504,-0.3588938300,0
101,1383,0.0878506645,0.9560590350,1.2193430956,0
1044,1262,0.0004650623,0.9797135315,4.6770536248,0
451,1436,0.8207966096,0.9855434949,7.3250951682,0
544,2513,0.1759808979,0.9891709401,2.1482591141,0
1131,1907,0.8403476807,0.9994005485,6.5894975835,0
926,2175,0.3594958271,1.0009099440,1.9942181916,0
905,1247,0.1671104571,1.0083262241,15.6263718771,0
905,2439,0.3515207871,1.0083262241,11.2693606663,0
306,1761,0.0025384173,1.0086976136,2.0378648232,0
218,1523,0.4316337771,1.0193265065,-1.8732368141,0
252,1372,0.4404362490,1.0212888621,2.7254169456,0
471,1946,0.0403236147,1.0321038563,0.1106027794,0
592,1325,0.5588252647,1.0321498205,5.7232533522,0
514,1208,0.4501248940,1.0759370297,9.1794021924,0
514,1259,0.4158830247,1.0759370297,15.0759976280,0
735,1510,0.1386294250,1.0946530532,11.0666400628,0
644,2004,0.2298127699,1.1292350464,0.9843664415,0
384,2320,0.2914369888,1.1377598518,14.8668365320,0
335,1761,0.2221690059,1.1577127186,4.6590125199,0
8,2700,0.0187944552,1.1611544301,2.0531615573,0
964,2564,0.7563521525,1.1754851782,12.1928222319,0
148,1561,0.6280516130,1.1960937131,9.6283932150,0
148,1859,0.2448973738,1.1960937131,15.3469857360,0
148,2253,0.1495116033,1.1960937131,17.0024072920,0
1166,1657,1.1324157197,1.1963747194,8.8295842052,0
680,1949,0.1542007334,1.2019005540,1.5209166271,0
337,1907,0.1041832478,1.2048331354,6.2191889248,0
1141,1660,0.3734785745,1.2105135341,4.4586687387,0
346,2267,0.2979777268,1.2135948747,9.0957375994,0
346,2320,0.0311097976,1.2135948747,7.6684100661,0
77,1692,1.0757113218,1.2264480780,4.0087840707,0
1038,1955,0.4671542410,1.2284501229,7.2692668915,0
846,1434,0.6011744537,1.2295975748,16.8859786750,0
321,2651,0.1639164083,1.2543875787,9.7978258515,0
807,2735,1.0608975832,1.2560777186,-0.5538361082,0
919,1924,0.1344068772,1.2579177555,9.1152356032,0
242,2723,0.7976162493,1.2695207080,13.4137884557,0
1080,1297,1.0660133929,1.2973143300,15.5833569545,0
1080,1754,0.0523674504,1.2973143300,18.1617605547,0
1080,1942,0.1971368619,1.2973143300,14.5559087652,0
644,1383,0.5440242096,1.3128695945,1.5454893835,0
1041,1824,0.3475163546,1.3158929975,1.4964339988,0
408,1592,0.6084528833,1.3213921420,0.1207833944,0
1179,1907,0.0196582167,1.3239900930,-2.3018189068,0
258,2118,0.0713683903,1.3515524783,4.4201790774,0
1052,2528,0.4015633423,1.3565062594,12.2051499370,0
926,2769,1.3249343927,1.3593427349,3.1111707493,0
338,2723,0.1965616489,1.3684833863,6.2704258018,0
115,1383,0.0055170276,1.3689143521,0.2218949340,0
325,1889,0.0016212299,1.3841252273,12.0873249140,0
355,2016,0.1446677857,1.3847492611,2.8779162251,0
287,1470,0.5609140562,1.3922748152,3.8379676560,0
1177,1216,0.0028009394,1.4135043445,11.7688434978,0
1039,1601,0.7130819920,1.4154389329,2.5551475651,0
335,1692,0.7284193731,1.4165615167,10.2540711107,0
513,2039,0.3239746579,1.4185097893,2.9760074334,0
1026,1515,0.3023704707,1.4195142927,8.5170559634,0
42,1615,1.1700795647,1.4280286753,16.3154625304,0
42,2023,0.0263747273,1.4280286753,20.5055055989,0
1000,2162,0.3691827789,1.4298898228,11.9321522489,0
137,2336,0.8225938970,1.4442638066,18.2236778146,0
555,2790,0.4496354188,1.4486495044,1.2185091352,0
815,1928,0.2130613918,1.4541445546,4.7941952385,0
252,1325,0.4796224961,1.4619688773,4.8146111963,0
1037,2118,0.0812113274,1.4728099345,4.9812691023,0
1143,2336,0.1092207321,1.4807377200,21.5590514028,0
948,1319,0.8879116426,1.4874066331,0.6579597192,0
176,2490,0.8409670835,1.5006799062,14.8192887304,0
278,1941,0.0000961541,1.5076514757,12.2027019077,0
95,2705,0.8691988161,1.5122995438,4.9566137331,0
153,1872,0.7886208118,1.5149749533,3.5915768543,0
252,2722,0.9356239153,1.5214000012,4.5083579494,0
806,1692,0.1173107741,1.5404990344,8.6962333625,0
458,1771,0.0050632613,1.5483016700,12.5855083727,0
263,2790,0.1749658021,1.5491101848,-0.7750214766,0
25,2198,0.8378624159,1.5629470307,8.9445813312,0
740,1383,0.9612922506,1.5676835949,4.3424534732,0
422,2757,0.9194150921,1.5718704471,4.2995094402,0
889,2746,0.0593059927,1.5823206429,3.6921582832,0
162,1808,0.1612569634,1.5958865612,15.3655234317,0
128,2794,1.3322214318,1.6004523389,6.0114755043,0
586,2004,0.0791507620,1.6023231617,9.2035370254,0
693,2004,0.0088295929,1.6315547716,15.2320751358,0
468,1402,0.4527855399,1.6428613811,10.9528209474,0
