Time,PopSize,InTreatment
1.0000000000,5905,0
2.0000000000,5873,0
3.0000000000,5874,0
4.0000000000,5885,0
5.0000000000,5902,0
6.0000000000,5932,0
7.0000000000,5980,0
8.0000000000,5992,0
9.0000000000,6051,0
10.0000000000,6130,0
11.0000000000,6188,0
12.0000000000,6252,0
13.0000000000,6304,0
14.0000000000,6365,0
15.0000000000,6411,0
16.0000000000,6466,0
17.0000000000,6517,0
18.0000000000,6545,0
19.0000000000,6604,0
20.0000000000,6652,0
21.0000000000,6701,9
22.0000000000,6724,18
23.0000000000,6750,42
24.0000000000,6747,64
25.0000000000,6772,100
26.0000000000,6790,153
27.0000000000,6803,185
28.0000000000,6824,225
29.0000000000,6853,256
30.0000000000,6866,293
31.0000000000,6876,412
32.0000000000,6871,427
33.0000000000,6875,455
34.0000000000,6816,521
35.0000000000,6819,539
36.0000000000,6849,563
37.0000000000,6877,625
38.0000000000,6895,647
39.0000000000,6897,653
40.0000000000,6908,657
