"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",180,0,0,0
"2",2002.99726027397,"F","(16,20]",194,3,0,0
"3",2002.99726027397,"F","(20,25]",180,4,0,0
"4",2002.99726027397,"F","(25,30]",159,6,0,0
"5",2002.99726027397,"F","(30,35]",131,2,0,1
"6",2002.99726027397,"F","(35,40]",89,5,0,1
"7",2002.99726027397,"F","(40,50]",132,8,0,1
"8",2002.99726027397,"F","(50,60]",63,3,0,0
"9",2002.99726027397,"F","(60,Inf]",45,5,0,0
"10",2002.99726027397,"M","(12,16]",168,0,0,0
"11",2002.99726027397,"M","(16,20]",184,0,0,0
"12",2002.99726027397,"M","(20,25]",218,3,0,0
"13",2002.99726027397,"M","(25,30]",186,4,0,0
"14",2002.99726027397,"M","(30,35]",160,11,0,0
"15",2002.99726027397,"M","(35,40]",105,5,0,0
"16",2002.99726027397,"M","(40,50]",120,7,0,2
"17",2002.99726027397,"M","(50,60]",66,8,0,1
"18",2002.99726027397,"M","(60,Inf]",30,5,0,2
"19",2006.99726027397,"F","(12,16]",200,0,0,0
"20",2006.99726027397,"F","(16,20]",215,4,0,0
"21",2006.99726027397,"F","(20,25]",233,9,0,1
"22",2006.99726027397,"F","(25,30]",169,7,1,1
"23",2006.99726027397,"F","(30,35]",151,9,0,2
"24",2006.99726027397,"F","(35,40]",126,10,2,1
"25",2006.99726027397,"F","(40,50]",137,8,0,2
"26",2006.99726027397,"F","(50,60]",70,8,1,0
"27",2006.99726027397,"F","(60,Inf]",34,3,1,0
"28",2006.99726027397,"M","(12,16]",177,0,0,0
"29",2006.99726027397,"M","(16,20]",224,0,0,0
"30",2006.99726027397,"M","(20,25]",220,3,0,0
"31",2006.99726027397,"M","(25,30]",187,13,0,2
"32",2006.99726027397,"M","(30,35]",164,19,1,0
"33",2006.99726027397,"M","(35,40]",131,14,3,1
"34",2006.99726027397,"M","(40,50]",109,9,0,0
"35",2006.99726027397,"M","(50,60]",59,8,0,1
"36",2006.99726027397,"M","(60,Inf]",37,6,1,1
"37",2010.99726027397,"F","(12,16]",211,1,0,0
"38",2010.99726027397,"F","(16,20]",251,2,0,0
"39",2010.99726027397,"F","(20,25]",277,7,0,0
"40",2010.99726027397,"F","(25,30]",203,13,0,1
"41",2010.99726027397,"F","(30,35]",154,10,1,0
"42",2010.99726027397,"F","(35,40]",124,9,1,2
"43",2010.99726027397,"F","(40,50]",108,14,2,3
"44",2010.99726027397,"F","(50,60]",70,10,0,2
"45",2010.99726027397,"F","(60,Inf]",47,4,1,1
"46",2010.99726027397,"M","(12,16]",209,0,0,0
"47",2010.99726027397,"M","(16,20]",209,1,0,0
"48",2010.99726027397,"M","(20,25]",254,4,0,0
"49",2010.99726027397,"M","(25,30]",228,13,0,1
"50",2010.99726027397,"M","(30,35]",163,13,0,1
"51",2010.99726027397,"M","(35,40]",138,14,1,1
"52",2010.99726027397,"M","(40,50]",162,15,3,4
"53",2010.99726027397,"M","(50,60]",59,8,1,1
"54",2010.99726027397,"M","(60,Inf]",46,3,1,0
"55",2014.99726027397,"F","(12,16]",224,0,0,0
"56",2014.99726027397,"F","(16,20]",261,8,1,1
"57",2014.99726027397,"F","(20,25]",328,16,1,1
"58",2014.99726027397,"F","(25,30]",248,22,4,1
"59",2014.99726027397,"F","(30,35]",169,19,3,3
"60",2014.99726027397,"F","(35,40]",115,18,4,1
"61",2014.99726027397,"F","(40,50]",154,17,2,1
"62",2014.99726027397,"F","(50,60]",58,5,3,0
"63",2014.99726027397,"F","(60,Inf]",57,6,2,1
"64",2014.99726027397,"M","(12,16]",221,0,0,0
"65",2014.99726027397,"M","(16,20]",278,2,0,0
"66",2014.99726027397,"M","(20,25]",281,8,0,0
"67",2014.99726027397,"M","(25,30]",239,14,2,0
"68",2014.99726027397,"M","(30,35]",182,23,2,1
"69",2014.99726027397,"M","(35,40]",148,13,1,1
"70",2014.99726027397,"M","(40,50]",148,22,5,1
"71",2014.99726027397,"M","(50,60]",70,12,3,1
"72",2014.99726027397,"M","(60,Inf]",37,7,2,0
